"camera","datetime.x"
"bls1001",2015-01-12
"bls1002",2014-09-20
"bls1003",2014-07-29
"bls1004",2014-09-20
"bls1005",2014-09-20
"bls2001",2014-12-12
"bls2002",2014-10-14
"bls2003",2014-10-14
"bls2004",2014-10-14
"bls2005",2014-12-12
"bls2006",2014-10-11
"bls2008",2014-04-18
"bls3001",2014-07-31
"bls3004",2014-10-14
"bls3005",2014-08-18
"bls3006",2014-10-14
"bls3007",2014-10-14
"bls3008",2014-08-27
"bls3009",2014-08-20
"bls3010",2014-07-31
"bls6001",2014-06-30
"bls6002",2014-04-09
"bls6004",2014-10-14
"bls7001",2014-09-21
"bls7003",2014-09-21
"lsl1001",2015-08-27
"lsl1004",2015-09-07
"lsl1005",2015-10-05
"lsl1006",2015-10-06
"lsl2001",2015-09-14
"lsl2002",2015-09-13
"lsl2003",2015-09-04
"lsl2004",2015-08-11
"lsl2005",2015-10-01
"lsl2006",2015-08-18
"mg1001",2015-09-19
"mg1002",2015-08-06
"mg1003",2015-07-23
"mg1004",2015-09-07
"mg1005",2015-09-03
"mg1006",2015-10-20
"mg2001",2015-10-21
"mg2002",2015-08-20
"mg2003",2015-10-21
"mg2005",2015-09-12
"mg2007",2015-08-30
"ml1001",2015-10-16
"ml1003",2015-09-07
"ml1005",2015-09-18
"ml1006",2015-10-10
"ml1007",2015-10-04
"ml1008",2015-09-03
"ml1009",2015-10-17
"ml1011",2015-10-15
"ml1012",2015-08-23
"ml1013",2015-10-06
"ml1014",2015-09-29
"ml1015",2015-08-29
"ml1016",2015-10-17
"ml1017",2015-08-12
"ml1018",2015-09-25
"ml1019",2015-08-31
"ml1020",2015-08-24
"ml1021",2015-08-19
"ml1022",2015-07-16
"ml1023",2015-10-18
"ml1024",2015-08-16
"ml1025",2015-08-06
"ml1026",2015-09-17
"ml1027",2015-10-04
"ml1028",2015-09-09
"ml2001",2015-09-21
"ml2002",2015-10-16
"ml2003",2015-10-16
"ml2004",2015-10-08
"ml2005",2015-10-16
"ml2006",2015-10-16
"ml2007",2015-07-08
"ml3001",2014-10-17
"ml3003",2015-10-17
"ml3004",2015-10-17
"ml3006",2015-10-07
"ms4001",2014-10-15
"ms4002",2014-10-15
"ms4003",2014-06-17
"ms4004",2011-06-17
"ms4005",2014-06-17
"ms4006",2014-10-15
"ms5001",2011-07-27
"ms5002",2014-10-28
"ms5004",2011-06-27
"nbh1001",2014-06-02
"nbh1004",2014-06-21
"nbh1005",2014-06-10
"nbh1007",2014-06-23
"nbh1009",2014-06-30
"nbh1012",2014-06-20
"nbh1013",2014-05-09
"nbh2004",2014-07-25
"nbh2007",2014-07-19
"nbh2008",2014-08-15
"nbh2010",2014-07-16
"nbh3005",2014-06-24
"nbh4001",2014-07-09
"nbh4003",2014-07-06
"nbh4006",2014-08-02
"nbh4010",2014-08-14
"nbh4011",2014-07-11
"nbh5001",2014-06-26
"nbh5002",2014-07-26
"nbh5003",2014-05-25
"nbh5005",2014-07-31
