X,photo_path,photo_file,site,camera,species,n,datetime
1,bulong/BLS1001/bird/1,2014 03 28 11 21 55.JPG,bulong,bls1001,bird,1,2014-03-28
2,bulong/BLS1001/bird/1,2014 04 02 13 01 28.JPG,bulong,bls1001,bird,1,2014-04-02
3,bulong/BLS1001/bird/1,2014 04 03 08 56 39.JPG,bulong,bls1001,bird,1,2014-04-03
4,bulong/BLS1001/bird/1,2014 04 05 14 19 07.JPG,bulong,bls1001,bird,1,2014-04-05
5,bulong/BLS1001/bird/1,2014 04 07 14 53 43.JPG,bulong,bls1001,bird,1,2014-04-07
6,bulong/BLS1001/bird/1,2014 04 08 09 35 05.JPG,bulong,bls1001,bird,1,2014-04-08
7,bulong/BLS1001/bird/1,2014 04 10 06 44 22.JPG,bulong,bls1001,bird,1,2014-04-10
8,bulong/BLS1001/bird/1,2014 04 14 19 59 35.JPG,bulong,bls1001,bird,1,2014-04-14
9,bulong/BLS1001/bird/1,2014 04 20 07 39 18.JPG,bulong,bls1001,bird,1,2014-04-20
10,bulong/BLS1001/bird/1,2014 03 28 11 21 54.JPG,bulong,bls1001,bird,1,2015-01-12
11,bulong/BLS1001/Human/1,2014 03 04 10 25 40.JPG,bulong,bls1001,human,1,2014-03-04
12,bulong/BLS1001/Human/1,2014 07 28 13 17 42.JPG,bulong,bls1001,human,1,2014-07-28
13,bulong/BLS1001/Human/1,2014 09 19 12 16 28.jpg,bulong,bls1001,human,1,2014-09-19
14,bulong/BLS1001/Human2/1,2014 06 24 15 42 30.JPG,bulong,bls1001,human2,1,2014-06-24
15,bulong/BLS1001/Human2/1,2014 07 03 14 19 40.JPG,bulong,bls1001,human2,1,2014-07-03
16,bulong/BLS1001/Human2/1,2014 07 06 08 56 11.JPG,bulong,bls1001,human2,1,2014-07-06
17,bulong/BLS1001/Human2/1,2014 07 08 10 03 57.JPG,bulong,bls1001,human2,1,2014-07-08
18,bulong/BLS1001/Human2/1,2014 07 10 15 12 58.JPG,bulong,bls1001,human2,1,2014-07-10
19,bulong/BLS1001/Hunter/1,2014 03 08 17 43 55.JPG,bulong,bls1001,hunter,1,2014-03-08
20,bulong/BLS1001/Rat/1,2014 04 03 02 35 01.JPG,bulong,bls1001,rat,1,2014-04-03
21,bulong/BLS1001/Squirrel/1,2014 04 11 10 02 58.JPG,bulong,bls1001,squirrel,1,2014-04-11
22,bulong/BLS1001/Squirrel/1,2014 09 18 14 49 42.jpg,bulong,bls1001,squirrel,1,2014-09-18
23,bulong/BLS1002/Human/1,2014 03 05 11 32 45.JPG,bulong,bls1002,human,1,2014-03-05
24,bulong/BLS1002/Human/1,2014 07 29 12 29 12.JPG,bulong,bls1002,human,1,2014-07-29
25,bulong/BLS1002/Human/1,2014 09 11 17 36 31.jpg,bulong,bls1002,human,1,2014-09-11
26,bulong/BLS1002/Human/1,2014 09 20 12 39 23.jpg,bulong,bls1002,human,1,2014-09-20
27,bulong/BLS1002/Muntjac/2,2014 06 22 06 49 08.JPG,bulong,bls1002,muntjac,2,2014-06-22
28,bulong/BLS1002/Muntjac/1,2014 07 06 08 48 03.JPG,bulong,bls1002,muntjac,1,2014-07-06
29,bulong/BLS1002/Muntjac/1,2014 07 13 19 14 39.JPG,bulong,bls1002,muntjac,1,2014-07-13
30,bulong/BLS1002/Muntjac/1,2014 07 23 17 05 00.JPG,bulong,bls1002,muntjac,1,2014-07-23
31,bulong/BLS1003/Human/1,IMAG0001.JPG,bulong,bls1003,human,1,2014-03-05
32,bulong/BLS1003/Human/1,IMAG0022.JPG,bulong,bls1003,human,1,2014-07-29
33,bulong/BLS1003/human2/1,IMAG0013.JPG,bulong,bls1003,human2,1,2014-06-07
34,bulong/BLS1003/human2/1,IMAG0019.JPG,bulong,bls1003,human2,1,2014-06-28
35,bulong/BLS1004/bird/1,2014 06 23 14 14 44.JPG,bulong,bls1004,bird,1,2014-06-23
