,photo_path,photo_file,site,camera,species,n,datetime
1567,Mengla/ML2001/Bat/1,2015 07 15 06 08 49.JPG,mengla,ml2001,bat,1,2015-07-15 6:08
1568,Mengla/ML2001/Bat/1,2015 07 15 06 08 50.JPG,mengla,ml2001,bat,1,2015-07-15 6:08
1569,Mengla/ML2001/Bat/1,2015 07 15 06 08 52.JPG,mengla,ml2001,bat,1,2015-07-15 6:08
2954,Mengla/ML2007/Bat/1,IMAG0064.JPG,mengla,ml2007,bat,1,2015-06-30 0:14
2955,Mengla/ML2007/Bat/1,IMAG0065.JPG,mengla,ml2007,bat,1,2015-06-30 0:14
2956,Mengla/ML2007/Bat/1,IMAG0066.JPG,mengla,ml2007,bat,1,2015-06-30 0:14
1178,Mengla/ML1019/Bird/1,2015 07 15 07 22 53.JPG,mengla,ml1019,bird,1,2015-07-15 7:22
1179,Mengla/ML1019/Bird/1,2015 07 15 07 22 56.JPG,mengla,ml1019,bird,1,2015-07-15 7:22
1180,Mengla/ML1019/Bird/1,2015 07 15 07 22 58.JPG,mengla,ml1019,bird,1,2015-07-15 7:22
1181,Mengla/ML1019/Bird/1,2015 08 14 06 59 20.JPG,mengla,ml1019,bird,1,2015-08-14 6:59
1182,Mengla/ML1019/Bird/1,2015 08 14 06 59 22.JPG,mengla,ml1019,bird,1,2015-08-14 6:59
1183,Mengla/ML1019/Bird/1,2015 08 14 06 59 24.JPG,mengla,ml1019,bird,1,2015-08-14 6:59
1451,Mengla/ML1022/Bird/1,2015 07 12 13 05 41.JPG,mengla,ml1022,bird,1,2015-07-12 13:05
1452,Mengla/ML1022/Bird/1,2015 07 12 13 05 44.JPG,mengla,ml1022,bird,1,2015-07-12 13:05
1453,Mengla/ML1022/Bird/1,2015 07 12 13 05 46.JPG,mengla,ml1022,bird,1,2015-07-12 13:05
1570,Mengla/ML2001/Bird/1,2015 08 24 08 17 31.JPG,mengla,ml2001,bird,1,2015-08-24 8:17
1571,Mengla/ML2001/Bird/1,2015 08 24 08 17 33.JPG,mengla,ml2001,bird,1,2015-08-24 8:17
1572,Mengla/ML2001/Bird/1,2015 08 24 08 17 34.JPG,mengla,ml2001,bird,1,2015-08-24 8:17
1573,Mengla/ML2001/Bird/1,2015 09 09 10 41 20.JPG,mengla,ml2001,bird,1,2015-09-09 10:41
1574,Mengla/ML2001/Bird/1,2015 09 09 10 41 22.JPG,mengla,ml2001,bird,1,2015-09-09 10:41
1575,Mengla/ML2001/Bird/1,2015 09 09 10 41 23.JPG,mengla,ml2001,bird,1,2015-09-09 10:41
1613,Mengla/ML2002/Bird/1,2015 08 05 12 21 31.JPG,mengla,ml2002,bird,1,2015-08-05 12:21
1614,Mengla/ML2002/Bird/1,2015 08 05 12 21 32.JPG,mengla,ml2002,bird,1,2015-08-05 12:21
1615,Mengla/ML2002/Bird/1,2015 08 05 12 21 34.JPG,mengla,ml2002,bird,1,2015-08-05 12:21
1616,Mengla/ML2002/Bird/1,2015 08 05 14 32 16.JPG,mengla,ml2002,bird,1,2015-08-05 14:32
1617,Mengla/ML2002/Bird/1,2015 08 05 14 32 18.JPG,mengla,ml2002,bird,1,2015-08-05 14:32
1618,Mengla/ML2002/Bird/1,2015 08 05 14 32 19.JPG,mengla,ml2002,bird,1,2015-08-05 14:32
1619,Mengla/ML2002/Bird/1,2015 08 25 13 53 28.JPG,mengla,ml2002,bird,1,2015-08-25 13:53
1620,Mengla/ML2002/Bird/1,2015 08 25 13 53 29.JPG,mengla,ml2002,bird,1,2015-08-25 13:53
1621,Mengla/ML2002/Bird/1,2015 08 25 13 53 30.JPG,mengla,ml2002,bird,1,2015-08-25 13:53
1622,Mengla/ML2002/Bird/1,2015 08 30 16 43 43.JPG,mengla,ml2002,bird,1,2015-08-30 16:43
1623,Mengla/ML2002/Bird/1,2015 08 30 16 43 44.JPG,mengla,ml2002,bird,1,2015-08-30 16:43
1624,Mengla/ML2002/Bird/1,2015 08 30 16 43 46.JPG,mengla,ml2002,bird,1,2015-08-30 16:43
1625,Mengla/ML2002/Bird/1,2015 08 31 10 58 08.JPG,mengla,ml2002,bird,1,2015-08-31 10:58
1626,Mengla/ML2002/Bird/1,2015 08 31 10 58 09.JPG,mengla,ml2002,bird,1,2015-08-31 10:58
1627,Mengla/ML2002/Bird/1,2015 08 31 10 58 10.JPG,mengla,ml2002,bird,1,2015-08-31 10:58
1628,Mengla/ML2002/Bird/1,2015 08 31 18 31 22.JPG,mengla,ml2002,bird,1,2015-08-31 18:31
1629,Mengla/ML2002/Bird/1,2015 08 31 18 31 23.JPG,mengla,ml2002,bird,1,2015-08-31 18:31
1630,Mengla/ML2002/Bird/1,2015 08 31 18 31 24.JPG,mengla,ml2002,bird,1,2015-08-31 18:31
1631,Mengla/ML2002/Bird/1,2015 09 10 17 19 21.JPG,mengla,ml2002,bird,1,2015-09-10 17:19
1632,Mengla/ML2002/Bird/1,2015 09 10 17 19 23.JPG,mengla,ml2002,bird,1,2015-09-10 17:19
1633,Mengla/ML2002/Bird/1,2015 09 10 17 19 24.JPG,mengla,ml2002,bird,1,2015-09-10 17:19
1634,Mengla/ML2002/Bird/1,2015 09 10 17 20 19.JPG,mengla,ml2002,bird,1,2015-09-10 17:20
1635,Mengla/ML2002/Bird/1,2015 09 10 17 20 20.JPG,mengla,ml2002,bird,1,2015-09-10 17:20
1636,Mengla/ML2002/Bird/1,2015 09 10 17 20 22.JPG,mengla,ml2002,bird,1,2015-09-10 17:20
1637,Mengla/ML2002/Bird/3,2015 07 24 08 57 21.JPG,mengla,ml2002,bird,3,2015-07-24 8:57
1638,Mengla/ML2002/Bird/3,2015 07 24 08 57 23.JPG,mengla,ml2002,bird,3,2015-07-24 8:57
1639,Mengla/ML2002/Bird/3,2015 07 24 08 57 24.JPG,mengla,ml2002,bird,3,2015-07-24 8:57
1640,Mengla/ML2002/Bird/3,2015 07 24 08 58 18.JPG,mengla,ml2002,bird,3,2015-07-24 8:58
1641,Mengla/ML2002/Bird/3,2015 07 24 08 58 20.JPG,mengla,ml2002,bird,3,2015-07-24 8:58
1642,Mengla/ML2002/Bird/3,2015 07 24 08 58 21.JPG,mengla,ml2002,bird,3,2015-07-24 8:58
1643,Mengla/ML2002/Bird/3,2015 07 24 08 59 38.JPG,mengla,ml2002,bird,3,2015-07-24 8:59
1644,Mengla/ML2002/Bird/3,2015 07 24 08 59 39.JPG,mengla,ml2002,bird,3,2015-07-24 8:59
1645,Mengla/ML2002/Bird/3,2015 07 24 08 59 41.JPG,mengla,ml2002,bird,3,2015-07-24 8:59
1646,Mengla/ML2002/Bird/3,2015 08 20 07 29 42.JPG,mengla,ml2002,bird,3,2015-08-20 7:29
1647,Mengla/ML2002/Bird/3,2015 08 20 07 29 44.JPG,mengla,ml2002,bird,3,2015-08-20 7:29
1648,Mengla/ML2002/Bird/3,2015 08 20 07 29 45.JPG,mengla,ml2002,bird,3,2015-08-20 7:29
1649,Mengla/ML2002/Bird/3,2015 08 20 07 31 14.JPG,mengla,ml2002,bird,3,2015-08-20 7:31
1650,Mengla/ML2002/Bird/3,2015 08 20 07 31 15.JPG,mengla,ml2002,bird,3,2015-08-20 7:31
1651,Mengla/ML2002/Bird/3,2015 08 20 07 31 16.JPG,mengla,ml2002,bird,3,2015-08-20 7:31
1652,Mengla/ML2002/Bird/3,2015 08 20 07 32 31.JPG,mengla,ml2002,bird,3,2015-08-20 7:32
1653,Mengla/ML2002/Bird/3,2015 08 20 07 32 32.JPG,mengla,ml2002,bird,3,2015-08-20 7:32
1654,Mengla/ML2002/Bird/3,2015 08 20 07 32 34.JPG,mengla,ml2002,bird,3,2015-08-20 7:32
1655,Mengla/ML2002/Bird/3,2015 08 31 10 02 24.JPG,mengla,ml2002,bird,3,2015-08-31 10:02
1656,Mengla/ML2002/Bird/3,2015 08 31 10 02 25.JPG,mengla,ml2002,bird,3,2015-08-31 10:02
1657,Mengla/ML2002/Bird/3,2015 08 31 10 02 26.JPG,mengla,ml2002,bird,3,2015-08-31 10:02
1960,Mengla/ML2003/Bird/1,2015 07 08 14 09 10.JPG,mengla,ml2003,bird,1,2015-07-08 14:09
1961,Mengla/ML2003/Bird/1,2015 07 08 14 09 12.JPG,mengla,ml2003,bird,1,2015-07-08 14:09
1962,Mengla/ML2003/Bird/1,2015 07 08 14 09 14.JPG,mengla,ml2003,bird,1,2015-07-08 14:09
1963,Mengla/ML2003/Bird/1,2015 07 10 14 14 56.JPG,mengla,ml2003,bird,1,2015-07-10 14:14
1964,Mengla/ML2003/Bird/1,2015 07 10 14 14 57.JPG,mengla,ml2003,bird,1,2015-07-10 14:14
1965,Mengla/ML2003/Bird/1,2015 07 10 14 14 59.JPG,mengla,ml2003,bird,1,2015-07-10 14:14
1966,Mengla/ML2003/Bird/1,2015 07 10 18 48 54.JPG,mengla,ml2003,bird,1,2015-07-10 18:48
1967,Mengla/ML2003/Bird/1,2015 07 10 18 48 56.JPG,mengla,ml2003,bird,1,2015-07-10 18:48
1968,Mengla/ML2003/Bird/1,2015 07 10 18 48 58.JPG,mengla,ml2003,bird,1,2015-07-10 18:48
1969,Mengla/ML2003/Bird/1,2015 07 11 09 29 10.JPG,mengla,ml2003,bird,1,2015-07-11 9:29
1970,Mengla/ML2003/Bird/1,2015 07 11 09 29 11.JPG,mengla,ml2003,bird,1,2015-07-11 9:29
1971,Mengla/ML2003/Bird/1,2015 07 11 09 29 13.JPG,mengla,ml2003,bird,1,2015-07-11 9:29
1972,Mengla/ML2003/Bird/1,2015 07 11 09 56 55.JPG,mengla,ml2003,bird,1,2015-07-11 9:56
1973,Mengla/ML2003/Bird/1,2015 07 11 09 56 58.JPG,mengla,ml2003,bird,1,2015-07-11 9:56
1974,Mengla/ML2003/Bird/1,2015 07 11 09 56 59.JPG,mengla,ml2003,bird,1,2015-07-11 9:56
1975,Mengla/ML2003/Bird/1,2015 08 10 09 21 42.JPG,mengla,ml2003,bird,1,2015-08-10 9:21
1976,Mengla/ML2003/Bird/1,2015 08 10 09 21 44.JPG,mengla,ml2003,bird,1,2015-08-10 9:21
1977,Mengla/ML2003/Bird/1,2015 08 10 09 21 45.JPG,mengla,ml2003,bird,1,2015-08-10 9:21
1978,Mengla/ML2003/Bird/1,2015 09 14 02 13 09.JPG,mengla,ml2003,bird,1,2015-09-14 2:13
1979,Mengla/ML2003/Bird/1,2015 09 14 02 13 10.JPG,mengla,ml2003,bird,1,2015-09-14 2:13
1980,Mengla/ML2003/Bird/1,2015 09 14 02 13 12.JPG,mengla,ml2003,bird,1,2015-09-14 2:13
1981,Mengla/ML2003/Bird/3,2015 09 11 16 10 18.JPG,mengla,ml2003,bird,3,2015-09-11 16:10
1982,Mengla/ML2003/Bird/3,2015 09 11 16 10 20.JPG,mengla,ml2003,bird,3,2015-09-11 16:10
1983,Mengla/ML2003/Bird/3,2015 09 11 16 10 21.JPG,mengla,ml2003,bird,3,2015-09-11 16:10
2047,Mengla/ML2004/Bird/1,2015 07 15 06 43 21.JPG,mengla,ml2004,bird,1,2015-07-15 6:43
2048,Mengla/ML2004/Bird/1,2015 07 15 06 43 22.JPG,mengla,ml2004,bird,1,2015-07-15 6:43
2049,Mengla/ML2004/Bird/1,2015 07 15 06 43 23.JPG,mengla,ml2004,bird,1,2015-07-15 6:43
2050,Mengla/ML2004/Bird/1,2015 07 26 18 51 24.JPG,mengla,ml2004,bird,1,2015-07-26 18:51
2051,Mengla/ML2004/Bird/1,2015 07 26 18 51 26.JPG,mengla,ml2004,bird,1,2015-07-26 18:51
2052,Mengla/ML2004/Bird/1,2015 07 26 18 51 27.JPG,mengla,ml2004,bird,1,2015-07-26 18:51
2053,Mengla/ML2004/Bird/1,2015 08 14 13 52 46.JPG,mengla,ml2004,bird,1,2015-08-14 13:52
2054,Mengla/ML2004/Bird/1,2015 08 14 13 52 47.JPG,mengla,ml2004,bird,1,2015-08-14 13:52
2055,Mengla/ML2004/Bird/1,2015 08 14 13 52 49.JPG,mengla,ml2004,bird,1,2015-08-14 13:52
2056,Mengla/ML2004/Bird/1,2015 09 08 09 26 01.JPG,mengla,ml2004,bird,1,2015-09-08 9:26
2057,Mengla/ML2004/Bird/1,2015 09 08 09 26 02.JPG,mengla,ml2004,bird,1,2015-09-08 9:26
2058,Mengla/ML2004/Bird/1,2015 09 08 09 26 03.JPG,mengla,ml2004,bird,1,2015-09-08 9:26
2059,Mengla/ML2004/Bird/1,2015 09 11 11 36 14.JPG,mengla,ml2004,bird,1,2015-09-11 11:36
2060,Mengla/ML2004/Bird/1,2015 09 11 11 36 15.JPG,mengla,ml2004,bird,1,2015-09-11 11:36
2061,Mengla/ML2004/Bird/1,2015 09 11 11 36 17.JPG,mengla,ml2004,bird,1,2015-09-11 11:36
2062,Mengla/ML2004/Bird/1,2015 10 04 13 33 56.JPG,mengla,ml2004,bird,1,2015-10-04 13:33
2063,Mengla/ML2004/Bird/1,2015 10 04 13 33 57.JPG,mengla,ml2004,bird,1,2015-10-04 13:33
2064,Mengla/ML2004/Bird/1,2015 10 04 13 33 59.JPG,mengla,ml2004,bird,1,2015-10-04 13:33
2185,Mengla/ML2005/Bird/1,2015 07 01 07 50 57.JPG,mengla,ml2005,bird,1,2015-07-01 7:50
2186,Mengla/ML2005/Bird/1,2015 07 01 07 50 59.JPG,mengla,ml2005,bird,1,2015-07-01 7:50
