NO,A_A_1,A_A_2,A_A_3,A_A_4,A_A_5,A_P_1,A_P_2,A_P_3,A_P_4,A_P_5,A_PA_1,A_PA_2,A_PA_3,A_PA_4,A_PA_5,S_A_1,S_A_2,S_A_3,S_A_4,S_A_5,S_P_1,S_P_2,S_P_3,S_P_4,S_P_5,S_PA_1,S_PA_2,S_PA_3,S_PA_4,S_PA_5,Time_of_outreach,No_of_Punishment,Relationship,Score_of_Punishment_Of_P,Score_of_Punishment_Of_H,Nationality,Gender ,Age,Education ,NO.of.fam,Income,Village,PAs,Time to PAs,A_A_14,A_P_124,A_PA_15,A_PA_234,S_A_T,S_P_T,S_PA_USE,S_PA_DIS
20151009001,0,-1,1,-1,1,1,-1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,-1,1.5,0,0,0,0,Bulang,1,26,Elementary,3,20,PADIAN,BULANGSHAN,2,-0.5,0,1,1,0.8,0.8,0,-0.5
20151009002,0,-1,1,1,1,1,-1,1,1,1,0,1,1,1,1,-1,1,1,1,1,1,1,1,0,1,1,1,1,-1,-1,7.5,0,1,0,0,Bulang,1,42,None,5,40,PADIAN,BULANGSHAN,NA,-0.5,0.333333333,0.5,1,0.6,0.8,1,-1
20151009003,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,7.5,0,1,0,0,Bulang,1,45,None,6,20,PADIAN,BULANGSHAN,NA,-0.5,1,1,1,0.8,0.8,1,1
20151009004,1,-1,1,-1,1,1,1,1,1,0,-1,1,1,1,0,1,1,1,0,1,1,1,1,0,-1,0,0,1,-1,-1,7.5,0,1,0,0,Bulang,1,27,None,4,7.5,PADIAN,BULANGSHAN,NA,0,1,-0.5,1,0.8,0.4,0.333333333,-1
20151009005,1,-1,1,-1,1,-1,-1,1,1,1,-1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,-1,-1,4,0,1,0.333333333,0.25,Bulang,1,52,None,3,40,PADIAN,BULANGSHAN,NA,0,-0.333333333,-0.5,1,0.8,0.8,1,-1
20151009006,1,-1,1,-1,1,1,-1,1,1,1,0,-1,1,-1,0,-1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,-1,-1,0,0,1,0,0.5,Bulang,1,30,Elementary,3,20,PADIAN,BULANGSHAN,NA,0,0.333333333,0,-0.333333333,0.2,-0.2,1,-1
20151009007,1,1,1,-1,1,1,-1,1,1,1,1,1,-1,1,0,-1,-1,1,1,1,-1,-1,-1,-1,1,1,1,0,-1,-1,4,0,-1,0,0.25,Bulang,1,22,Middle,5,20,PADIAN,BULANGSHAN,30,1,0.333333333,0.5,0.333333333,0.2,-0.6,0.666666667,-1
20151009008,1,1,1,-1,1,-1,-1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1.5,0,1,0.333333333,0,Bulang,1,20,Middle,4,20,PADIAN,BULANGSHAN,NA,1,-0.333333333,0.5,0.666666667,1,1,1,-1
20151009009,1,-1,-1,-1,1,1,1,1,-1,1,1,0,1,1,1,1,1,-1,0,1,1,1,-1,0,-1,1,1,1,0,0,1.5,0,1,0.333333333,0.25,Lahu,1,61,Elementary,7,20,BANNUODONG,BULANGSHAN,30,0,0.333333333,1,0.666666667,0.4,0,1,0
20151009010,1,1,1,-1,1,1,-1,1,-1,0,1,1,1,1,1,1,1,-1,1,1,1,1,1,0,1,1,1,1,0,1,1.5,0,1,0.333333333,0.5,Lahu,1,25,Elementary,4,20,BANNUODONG,BULANGSHAN,60,1,-0.333333333,1,1,0.6,0.8,1,0.5
20151009011,1,-1,1,-1,1,1,-1,1,-1,1,-1,0,1,0,0,1,1,1,0,1,-1,-1,-1,0,-1,0,-1,0,-1,-1,0,0,0,0,0,Lahu,1,32,None,3,20,BANNUODONG,BULANGSHAN,30,0,-0.333333333,-0.5,0.333333333,0.8,-0.8,-0.333333333,-1
