Vil,LongDD,LaDD,HH,POP,PA,,
BANNUODONG,100.4375444,21.5913,28,131,BLS,3.9,0.002440551
LAONANDONG,100.3561306,21.55613056,64,269,BLS,,
MENGANG,100.4125472,21.58296944,150,518,BLS,,
PADIAN,100.4716722,21.60079167,70,289,BLS,,
XINMAN'E,100.4183306,21.5852,103,391,BLS,,
BAKAXIAOZHAI,101.2108083,21.96416389,90,410,MENGLUN,1.4,0.000942761
MANLE,101.2161444,21.92422778,94,539,MENGLUN,,
MANLUN,101.2310917,21.94129722,106,536,MENGLUN,,
CHANGTIANBA,100.3854389,21.99830833,35,165,MG,2.1,0.001615385
MANSAOXIU,100.3312444,22.03455556,77,418,MG,,
NANLUDDAZHAI,100.3048361,22.10265556,120,534,MG,,
XINSHENZHAI,100.3749556,21.99531111,35,183,MG,,
HUIFEN,101.646875,21.74803611,40,173,ML,6.6,0.005288462
LIXIN,101.5845361,21.66183056,60,267,ML,,
MANPA,101.5847222,21.65820278,NA,NA,ML,,
NANGONGSHAN,101.5713083,21.69630556,80,373,ML,,
NAZHUO,101.5873278,21.67483611,NA,NA,ML,,
NAZHUOERDUI,101.5753639,21.68516111,30,113,ML,,
QIAOTOUZHAI,101.6053056,21.68094167,70,322,ML,,
YAOQU,101.5436861,21.72213333,NA,NA,ML,,
MANERKE,100.5072556,21.49655556,40,152,MS,5,
MANJIAGANBIAN,100.5034028,21.49629722,63,257,MS,,
MANJIAJIAO,100.5081917,21.49890278,83,327,MS,,
MANMAIYAO,100.4928222,21.49282222,80,428,MS,,
ANMAXINZHAI,100.6452639,22.19782778,75,333,NBH,8.8,
DANUOYOU,100.6366639,22.20562222,95,365,NBH,,
HUIMAHE,100.6735861,22.18887222,50,270,NBH,,
MANFEI,100.6823056,22.16649167,60,335,NBH,,
NABAN,100.683975,22.16338056,65,290,NBH,,
PABIN,100.7168278,22.15073889,60,245,NBH,,
