"station","year","month","day","individuals","camhours"
"ml1001","999","999","999",0,10
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,24
"ml1001","999","999","999",0,12
"ml1003","999","999","999",0,17
"ml1003","999","999","999",0,24
"ml1003","999","999","999",0,24
"ml1003","999","999","999",0,24
"ml1003","999","999","999",0,24
"ml1003","999","999","999",0,24
"ml1003","999","999","999",0,24
"ml1003","999","999","999",0,24
"ml1003","999","999","999",0,24
"ml1003","999","999","999",0,24
"ml1003","999","999","999",0,24
"ml1003","999","999","999",0,24
"ml1003","999","999","999",0,24
"ml1003","999","999","999",0,24
"ml1003","999","999","999",0,24
"ml1003","999","999","999",0,24
"ml1003","999","999","999",0,24
"ml1003","999","999","999",0,24
