spp,sci_spp,CN_class,CN_redlist,ICUN_redlist
blackbear,Ursus_thibetanus,2,VU ,VU
brushtailedporcupine,Atherurus_macrouru,3,LC,LC
chineseferretbadger,Melogale_moschata,3,NT ,LC
commonmacaque,Macaca_mulatta,2,LC,LC
commonpalmcivet,Paradoxurus_hermaphroditus,3,VU,LC
crabeatingmongoose,Herpestes_urva,3,NT,LC
dhole,Cuon_alpinus,2,EN,EN
goral,Naemorhedus_griseus,2,VU ,VU
gaur,Bos_gaurus,1,CR,VU
hogbadger,Arctonyx_collaris,3,NT ,NT
leopardcat,Prionailurus_bengalensis,3,VU,LC
maskedpalmcivet,Paguma_larvata,3,NT,LC
muntjac,Muntiacus_vaginalis,3,NT,LC
pigtailedmacaque,Macaca_leonina,1,CR,VU
porcupine,Hystrix_brachyura,3,LC,LC
sambar,Rusa_unicolor,2,NT,VU
serow,Capricornis_milneedwardsii,2,VU ,NT
smallindiancivet,Viverricula_indica,2,VU,LC
spotedlinsang,Prionodon_pardicolor,2,VU,LC
weasel,Mustela_kathiah,3,NT,LC
wildboar,Sus_scrofa ,3,LC,LC
yellowthroatedmarten,Martes_flavigula,2,NT,LC
