NO,ele,ele.s,dis,dis.s,dis.v,dis.v.s,Cam_angle,pop500m,pop3000m,pop500.s,PAS,re-dis.s,re-dis.v.s,disturbance,disturbance.v,pun,1_pun,S_H,S_H.s,disturbanceP.v,distrubanceSH.v,distanceP,distanceSH,popP,pop.a,popSH,size,size.m
ML1001,991,-0.993633516,3325.543405,0.964355159,7670.558863,-0.430518074,1,21.66708726,843.9999742,-0.667176424,Mengla,-0.964355159,0.430518074,0.6434,0.2872,0.84,0.16,0.296478873,0.855892444,-0.240227078,0.550681198,754.4812017,2274.158647,2.131188917,708.9599783,6.423833612,92683,9.2683
ML1003,1427,0.511526136,5326.536054,2.320016213,7670.558863,0.160978728,1,16.30247442,729.2690859,-0.864722873,Mengla,-2.320016213,-0.160978728,2.0062,-0.1392,0.84,0.16,0.296478873,0.855892444,0.11643318,1.717091421,1009.554389,3043.000725,1.603522078,612.5860322,4.833339243,92683,9.2683
ML1005,1510,0.798058822,5228.29968,2.253461633,7670.558863,0.184035007,1,15.68007006,699.869561,-0.887642285,Mengla,-2.253461633,-0.184035007,2.0003,-0.1634,0.84,0.16,0.296478873,0.855892444,0.136675155,1.712041656,1019.497027,3072.969842,1.542301977,587.8904312,4.6488095,92683,9.2683
ML1006,1554,0.949955668,5336.65283,2.326870271,7670.558863,0.16704083,1,16.16192001,694.8440005,-0.869898648,Mengla,-2.326870271,-0.16704083,2.0241,-0.1453,0.84,0.16,0.296478873,0.855892444,0.121535496,1.732411896,1012.16857,3050.880393,1.589697054,583.6689604,4.79166783,92683,9.2683
ML1007,1643,1.25720156,5202.374552,2.235897507,7670.558863,0.203228712,1,15.52335344,672.2102901,-0.893413217,Mengla,-2.235897507,-0.203228712,1.9976,-0.1816,0.84,0.16,0.296478873,0.855892444,0.151898459,1.709730746,1027.773993,3097.91829,1.526887228,564.6566437,4.602346333,92683,9.2683
ML1008,1710,1.48849903,4968.816161,2.077663035,7670.558863,0.27473349,1,14.69047181,663.9269424,-0.924083241,Mengla,-2.077663035,-0.27473349,1.9199,-0.2539,0.84,0.16,0.296478873,0.855892444,0.212373451,1.643227903,1058.609243,3190.861959,1.444964444,557.6986316,4.355414526,92683,9.2683
ML1009,1778,1.7232487,4744.977246,1.926013453,7670.558863,0.342733768,1,14.42560165,651.215397,-0.933836818,Mengla,-1.926013453,-0.342733768,1.7986,-0.3201,0.84,0.16,0.296478873,0.855892444,0.267746127,1.53940815,1087.933236,3279.250393,1.418911641,547.0209335,4.27688612,92683,9.2683
ML1011,1817,1.857884541,4360.024482,1.665210161,7670.558863,0.4375121,1,15.30393419,644.0121709,-0.901493109,Mengla,-1.665210161,-0.4375121,1.5012,-0.3944,0.84,0.16,0.296478873,0.855892444,0.32989401,1.284865737,1128.804819,3402.445595,1.505305006,540.9702236,4.537293161,92683,9.2683
ML1012,1773,1.705987695,4492.282958,1.754814521,7670.558863,0.38396618,1,15.14793088,639.0237237,-0.907237773,Mengla,-1.754814521,-0.38396618,1.592,-0.3483,0.84,0.16,0.296478873,0.855892444,0.291333884,1.362580771,1105.71403,3332.845294,1.489960418,536.7799279,4.491041476,92683,9.2683
ML1013,1709,1.485046829,4713.270518,1.904532326,7670.558863,0.315423253,0,15.05051167,663.4437054,-0.910825137,Mengla,-1.904532326,-0.315423253,1.7347,-0.2873,0.84,0.16,0.296478873,0.855892444,0.240310723,1.484716622,1076.156029,3243.751513,1.480378201,557.2927125,4.462158738,92683,9.2683
ML1014,1608,1.136374524,4920.711566,2.045072448,7670.558863,0.254113787,1,15.15795112,687.9497411,-0.906868788,Mengla,-2.045072448,-0.254113787,1.8546,-0.2304,0.84,0.16,0.296478873,0.855892444,0.192716988,1.587338126,1049.717339,3164.059963,1.490946016,577.8777825,4.494012265,92683,9.2683
ML1015,1534,0.880911647,4722.541679,1.910813485,7670.558863,0.292253593,1,15.46581879,702.752099,-0.895531872,Mengla,-1.910813485,-0.292253593,1.7112,-0.2617,0.84,0.16,0.296478873,0.855892444,0.218897724,1.46460315,1066.164498,3213.63502,1.521228082,590.3117632,4.585288525,92683,9.2683
ML1016,1463,0.635805374,5044.720102,2.12908752,10543.3277,0.22473594,0,15.72918397,726.7190208,-0.885833715,Mengla,-2.12908752,-0.22473594,1.886,-0.1991,0.84,0.16,0.296478873,0.855892444,0.166536251,1.614213149,1037.048629,3125.873914,1.547132854,610.4439775,4.663370737,92683,9.2683
ML1017,1467,0.649614178,5448.443992,2.402608143,10148.24713,0.134621438,1,16.45854597,713.8283816,-0.858975696,Mengla,-2.402608143,-0.134621438,2.0638,-0.1156,0.84,0.16,0.296478873,0.855892444,0.096693072,1.766390826,998.188245,3008.740872,1.618873378,599.6158405,4.87961116,92683,9.2683
ML1018,1499,0.760084611,4934.128549,2.054162377,9785.304743,0.051837383,1,17.20985208,704.969421,-0.831309607,Mengla,-2.054162377,-0.051837383,1.7076,-0.0431,0.84,0.16,0.296478873,0.855892444,0.036050791,1.461521937,962.4889937,2901.136122,1.69277234,592.1743136,5.102357549,92683,9.2683
ML1019,1504,0.777345616,4459.651367,1.732706805,9414.865165,-0.032656718,1,17.65971473,703.9269309,-0.81474387,Mengla,-1.732706805,0.032656718,1.4117,0.0266,0.84,0.16,0.296478873,0.855892444,-0.022249444,1.208263363,926.0523138,2791.308614,1.737021126,591.298622,5.235732321,92683,9.2683
