NO,START_DATE,DAY1,END_DATE,END_TIME,Cam_days,,Last_photo_no,Last_photo
ML1001,2015-06-25,10,2015-10-16,12,114,,ml1001,2015-10-16
ML1003,2015-06-26,17,2015-09-10,20,77,,ml1003,2015-09-07
ML1005,2015-06-26,15,2015-09-26,8,93,,ml1005,2015-09-18
ML1006,2015-06-26,14.5,2015-10-17,10,114,,ml1006,2015-10-10
ML1007,2015-06-26,14,2015-10-10,20,107,,ml1007,2015-10-04
ML1008,2015-06-26,13.75,2015-09-03,20,70,,ml1008,2015-09-03
ML1009,2015-06-26,13.5,2015-10-17,11,114,,ml1009,2015-10-17
ML1011,2015-06-26,13,2015-10-15,5.5,112,,ml1011,2015-10-15
ML1012,2015-06-26,12,2015-08-23,19.5,59,,ml1012,2015-08-23
ML1013,2015-06-26,11,2015-10-17,12.5,114,,ml1013,2015-10-06
ML1014,2015-06-26,10.5,2015-09-29,23.5,96,,ml1014,2015-09-29
ML1015,2015-06-26,10.25,2015-09-01,22,68,,ml1015,2015-08-29
ML1016,2015-06-26,9.5,2015-10-17,13,114,,ml1016,2015-10-17
ML1017,2015-06-27,16,2015-08-12,12,47,,ml1017,2015-08-12
ML1018,2015-06-27,15,2015-09-25,9,91,,ml1018,2015-09-25
ML1019,2015-06-27,13.5,2015-08-31,7,66,,ml1019,2015-08-31
ML1020,2015-06-27,13,2015-08-29,20.5,64,,ml1020,2015-08-24
ML1021,2015-06-27,10,2015-08-21,18.5,56,,ml1021,2015-08-19
ML1022,2015-06-27,9,2015-08-17,1,52,,ml1022,2015-07-16
ML1023,2015-06-27,8.5,2015-10-18,10.5,114,,ml1023,2015-10-18
ML1024,2015-06-27,8,2015-08-23,10.5,58,,ml1024,2015-08-16
ML1025,2015-06-27,8,2015-08-17,5,52,,ml1025,2015-08-06
ML1026,2015-06-27,8,2015-10-10,8,106,,ml1026,2015-09-17
ML1027,2015-06-27,8,2015-10-12,18,108,,ml1027,2015-10-04
ML1028,2015-06-27,7.5,2015-09-09,21.5,75,,ml1028,2015-09-09
ML2001,2015-06-26,13,2015-09-22,4,89,,ml2001,2015-09-21
ML2002,2015-06-26,12.5,2015-10-16,11,113,,ml2002,2015-10-16
ML2003,2015-06-26,11.5,2015-10-16,11,113,,ml2003,2015-10-16
ML2004,2015-06-26,10.5,2015-10-16,12,113,,ml2004,2015-10-08
ML2005,2015-06-26,9.5,2015-10-16,12.5,113,,ml2005,2015-10-16
ML2006,2015-06-26,8.5,2015-10-17,13,114,,ml2006,2015-10-16
ML2007,2015-06-26,8,2015-07-09,11,14,,ml2007,2015-07-08
ML3001,2015-06-27,13,2015-10-17,17,113,,ml3001,2014-10-17
ML3003,2015-06-27,11.5,2015-10-17,11.5,113,,ml3003,2015-10-17
ML3004,2015-06-27,9,2015-10-17,13,113,,ml3004,2015-10-17
ML3006,2015-06-27,6,2015-10-17,14,113,,ml3006,2015-10-07
MG1001,2015-07-03,13,2015-10-19,11,109,,mg1001,2015-09-19
MG1002,2015-07-03,12,2015-08-06,12,35,,mg1002,2015-08-06
MG1003,2015-07-03,11,2015-08-19,12,48,,mg1003,2015-07-23
MG1004,2015-07-03,10.5,2015-08-28,13,57,,mg1004,2015-09-07
MG1005,2015-07-03,9.5,2015-08-25,15,54,,mg1005,2015-09-03
MG1006,2015-08-19,9,2015-10-20,12,63,,mg1006,2015-10-20
