"","model","formula","lam(ele.s)","SElam(ele.s)","lam(Int)","SElam(Int)","lam(pop.s)","SElam(pop.s)","lam(pop.z)","SElam(pop.z)","lam(popP)","SElam(popP)","lam(popSH)","SElam(popSH)","lam(puns)","SElam(puns)","lam(size)","SElam(size)","p(cam_angle)","SEp(cam_angle)","p(camhours)","SEp(camhours)","p(Int)","SEp(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"4","m004","~camhours + cam_angle ~ ele.s + popP",0.539938649836952,0.254506951995164,-0.404992403474707,0.450794976669501,NA,NA,NA,NA,-0.183589086722974,0.0736510871645513,NA,NA,NA,NA,NA,NA,-0.773532538822283,1.40978565162062,4.54494354826607,50.5761143645434,-3.94609824692124,2.62815927362883,0,1264637.0685881,284.776322070204,6,115,581.552644140408,0,0.367838639962902,NA,0.367838639962902
"8","m008","~camhours + cam_angle ~ ele.s + size + popP",0.487281211181329,0.269132207209489,-0.878941769496996,0.906636240207135,NA,NA,NA,NA,-0.137718911716118,0.0997124827553781,NA,NA,NA,NA,0.0586984050815142,0.0965206362173703,-0.608176143804713,1.20764237231142,4.62414629804096,51.6621958826359,-4.13925977989616,2.5620565654212,0,3911333.98808595,284.591403263182,7,115,583.182806526365,1.63016238595662,0.162806628878956,NA,0.530645268841858
"6","m006","~camhours + cam_angle ~ ele.s + size",0.524021941594059,0.268426619836166,-2.14424508484757,0.467465088413591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.171819030062451,0.0649288932410859,-0.328724819325302,0.956821477986674,6.2634574562255,85.8995266634093,-4.49786369104132,3.82966069471013,0,10051666.037761,285.795468800476,6,115,583.590937600952,2.03829346054408,0.132753979009022,NA,0.66339924785088
"7","m007","~camhours + cam_angle ~ ele.s + size + pop.s",0.44729324505144,0.296324317920703,-2.10002130576135,0.467316232994188,-0.35512491224087,0.572056177815505,NA,NA,NA,NA,NA,NA,NA,NA,0.137515220582242,0.0827802535594521,-0.482150630290107,1.12466707954147,3.50837134634409,31.1065430399221,-4.21525042835005,1.79383760237813,0,1312055.68880436,285.584184369244,7,115,585.168368738489,3.6157245980811,0.06032713874592,NA,0.7237263865968
"12","m012","~camhours + cam_angle ~ ele.s + size + puns",0.502808286015991,0.272401752167699,-3.0241010805973,2.16511706202916,NA,NA,NA,NA,NA,NA,NA,NA,2.85208052632967,6.72189894050832,0.218601055542967,0.13223499816589,-0.350302668614333,0.977933173743394,3.46144640894509,29.5983899287317,-4.35208156349238,1.64394854164548,0,1190209.46868935,285.714135980797,7,115,585.428271961594,3.87562782118607,0.0529755482358199,NA,0.77670193483262
"9","m009","~camhours + cam_angle ~ ele.s + size + popSH",0.514722402846937,0.299127252015536,-2.08388228384152,1.00904052550976,NA,NA,NA,NA,NA,NA,-0.00588856050005892,0.087164517344045,NA,NA,0.168890088388409,0.0781999188635085,-0.338280093716308,0.976195797387738,6.44879993321915,90.7598599653714,-4.49494161449458,4.03735027011947,0,17310483.6812198,285.793122031474,7,115,585.586244062947,4.03359992253911,0.0489522044346362,NA,0.825654139267256
"11","m011","~camhours + cam_angle ~ ele.s + size + pop.z",0.514579557443014,0.296502784306985,-2.14643381219907,0.46798702845641,NA,NA,-0.0532986242121485,0.579216582102689,NA,NA,NA,NA,NA,NA,0.168630088971696,0.0745670971163203,-0.340705513025745,0.984695651520492,2.10680176317057,12.8539051177203,-4.30573962443236,1.18442966549525,0,226208.246964997,285.797620745786,7,115,585.595241491572,4.0425973511642,0.0487324770678183,NA,0.874386616335074
"3","m003","~camhours + cam_angle ~ ele.s + pop.s",0.430241754098833,0.288406550390591,-1.7390381176039,0.39112681404311,-0.988484533821828,0.525784711684694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.14866544315598,0.884010164836562,6.81260148943445,110.568599757692,-3.60097432327425,4.82926517604804,0,948048.600220759,286.980446774033,6,115,585.960893548067,4.40824940765879,0.0405899159368699,NA,0.914976532271944
"14","m014","~camhours + cam_angle ~ ele.s + pop.s + puns",0.439680108726013,0.308388658161897,-0.605194236785685,1.07049672032493,-0.730243306493409,0.519318623796244,NA,NA,NA,NA,NA,NA,-4.39166057710451,3.98047186673609,NA,NA,-0.845537413273683,1.71202113905994,2.50657985561006,18.3719072576422,-3.76989439153847,1.96362762307438,0,27573.9861903751,286.302864841171,7,115,586.605729682342,5.0530855419338,0.029403143567127,NA,0.944379675839071
"13","m013","~camhours + cam_angle ~ ele.s + pop.s + size + puns",0.43511556733788,0.295286093465267,-2.7551892206009,2.20602498637993,-0.325848465915216,0.580469849575214,NA,NA,NA,NA,NA,NA,2.1165737966534,6.8424305658832,0.175519052828763,0.150235946754279,-0.480493402245911,1.13005974565749,3.47281266189539,30.3662331277508,-4.21469541031326,1.77450453569626,0,1252607.34405675,285.543001374328,8,115,587.086002748656,5.53335860824825,0.0231261742276992,NA,0.967505850066771
