"","model","formula","lam(dis.s)","SElam(dis.s)","lam(ele.s)","SElam(ele.s)","lam(Int)","SElam(Int)","lam(PASLvshilin)","SElam(PASLvshilin)","lam(PASMangao)","SElam(PASMangao)","lam(PASMengla)","SElam(PASMengla)","lam(PASMengsong)","SElam(PASMengsong)","lam(PASNabanhe)","SElam(PASNabanhe)","p(cam_angle)","SEp(cam_angle)","p(camhours)","SEp(camhours)","p(Int)","SEp(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"6","m007","~camhours ~ ele.s + PAS",NA,NA,-0.546141521020055,0.212967232195743,-2.41849557348321,0.708251753745814,-20.5577826074738,8389.45474067276,-9.20392523991134,119.184478521132,1.11019001983444,0.821852707861011,-8.78521879093951,104.802719081543,2.771010690163,0.762569307456521,NA,NA,0.343219366479325,0.321574757336063,-3.85258754123459,0.212694375359727,0,9127787773.68645,442.767993311432,9,115,903.535986622864,0,0.474072318049167,NA,0.474072318049167
"13","m015","~camhours + cam_angle ~ ele.s + PAS",NA,NA,-0.550117220328149,0.21753140106366,-2.40628485661435,0.70859225100159,-13.6094589284,756.377456711282,-11.1994007039496,328.272522434491,1.13377938048332,0.821825824206738,-11.4548774494895,398.556513052197,2.69900464073672,0.766022318073613,-0.36885604907608,0.315999932055102,0.346321356547114,0.322379516316386,-3.57397856477606,0.32394898175261,0,82121967.1999584,442.07849335505,10,115,904.156986710101,0.621000087236894,0.347533073551269,NA,0.821605391600436
"5","m006","~camhours ~ dis.s + PAS",-0.376827479744983,0.249421627198008,NA,NA,-2.67954261839521,0.722350506393822,-17.4468012098133,8388.74031113907,-14.1069541072101,1343.25468280584,1.4355057398742,0.875806423763807,-8.85099021997861,94.2167216519921,3.34877484082576,0.757960455399329,NA,NA,0.344143285816693,0.321864845776309,-3.81383182509712,0.208898815285545,0,6998997927.71825,444.91371928138,9,115,907.827438562761,4.29145193989689,0.0554584399124772,NA,0.877063831512913
"4","m005","~camhours ~ PAS",NA,NA,NA,NA,-2.46775150756409,0.707312937489796,-10.7234937109993,290.823526076463,-8.37109354294859,73.8466734608272,0.877910942504065,0.81745376036565,-8.40648547509318,79.6386316947058,3.12306254468799,0.745808054608055,NA,NA,0.345558981707286,0.322977903375654,-3.73135288059149,0.1887261247834,0,7821352.1967926,446.063011576783,8,115,908.126023153566,4.59003653070158,0.0477673147818395,NA,0.924831146294753
"11","m013","~camhours + cam_angle ~ PAS",NA,NA,NA,NA,-2.45888160138623,0.707571831927221,-13.4705429933308,1163.29083511729,-12.3511853511514,547.213058276828,0.896205693687608,0.817512943146158,-8.77436236910474,95.9241308476338,3.03787781573831,0.7501666716323,-0.407552725556665,0.320884720925887,0.347938314551908,0.323209995674963,-3.40975110892175,0.317056244356337,0,149034118.185039,445.246618472883,9,115,908.493236945765,4.95725032290136,0.0397549641798609,NA,0.964586110474614
"12","m014","~camhours + cam_angle ~ dis.s + PAS",-0.338646699926441,0.254287865610271,NA,NA,-2.6495532879446,0.723201033849071,-12.3054468318699,639.625765323905,-12.4962706698052,611.803093803641,1.39980705324225,0.880998316047765,-9.84271194956181,155.828048149561,3.25741906139776,0.76493149346175,-0.336729288492453,0.32269156864734,0.346906482379748,0.322695684939465,-3.54200207139615,0.335742770622088,0,47348167.4576131,444.362249400441,10,115,908.724498800883,5.18851217801875,0.0354138784801867,NA,0.9999999889548
"10","m011","~camhours + cam_angle ~ ele.s + dis.s",0.603764281139197,0.258867521454327,-0.99401194795178,0.255563963570681,-1.47125689055152,0.253384605946754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.849134528837219,0.287963665566524,0.351539421736176,0.32404379325634,-2.79838217454338,0.248473366693899,0,15.3712897090661,463.512406789811,6,115,939.024813579621,35.4888269567573,9.32274356557869e-09,NA,0.999999998277544
"9","m010","~camhours + cam_angle ~ ele.s",NA,NA,-0.65500324846447,0.190757572465246,-1.36432567696466,0.227722170268414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.808513091559144,0.289146917259664,0.349442938844482,0.323155983093152,-2.81213068774425,0.253374088572312,0,14.3332176937913,466.216468903175,5,115,942.432937806349,38.8969511834853,1.69620744812835e-09,NA,0.999999999973751
"15","m017","~camhours + cam_angle ~ 1",NA,NA,NA,NA,-1.29680238509979,0.206119910580016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.875011265207423,0.269990618176119,0.34389690803484,0.322115130042207,-2.64214541539855,0.229201921987367,0,12.1680948295407,471.744208754296,4,115,951.488417508592,47.9524308857279,1.83276394681929e-11,NA,0.999999999992079
"14","m016","~camhours + cam_angle ~ dis.s",0.0519761294407012,0.188492041736977,NA,NA,-1.30133721299597,0.207248649963256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.87935495546665,0.268952515526417,0.344270561672539,0.322541648706016,-2.63616893293629,0.228239483352816,0,12.1308998357298,471.706788003205,5,115,953.41357600641,49.8775893835461,6.99944615320817e-12,NA,0.999999999999078
