"","model","formula","lam(distP.v)","SElam(distP.v)","lam(distSH.v)","SElam(distSH.v)","lam(ele.s)","SElam(ele.s)","lam(Int)","SElam(Int)","p(cam_angle)","SEp(cam_angle)","p(camhours)","SEp(camhours)","p(Int)","SEp(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","m001","~1 ~ 1",NA,NA,NA,NA,NA,NA,-1.23398872444124,0.518204532390163,NA,NA,NA,NA,-5.3289546423474,0.559409286868282,0,11.0529140544149,118.527898224967,2,115,241.055796449934,0,0.154034433838884,NA,0.154034433838884
"3","m003","~camhours ~ ele.s + distP.v",0.767536842560136,0.420946492662931,NA,NA,-0.489927801822789,0.305432842987742,-1.06740322964037,0.870250862237269,NA,NA,-0.00313182369318372,0.249166546246528,-5.8418770806082,0.942937238970902,0,50.6565537323114,115.591862787095,5,115,241.183725574191,0.127929124256696,0.144490189374818,NA,0.298524623213702
"6","m006","~camhours ~ distP.v",0.855812094198638,0.429447784815871,NA,NA,NA,NA,-1.3410225868821,0.626217897887719,NA,NA,-0.0210538038657782,0.253283335402563,-5.50610806052387,0.667212183762764,0,19.9260841316834,116.798474442874,4,115,241.596948885749,0.541152435814212,0.117518992153196,NA,0.416043615366898
"2","m002","~camhours ~ ele.s",NA,NA,NA,NA,-0.52359028398083,0.301287047003344,-1.05562831831359,0.674252286219613,NA,NA,-0.00613164071030101,0.24939819547321,-5.59470601731347,0.733468834023323,0,24.7412992919969,117.07925728296,4,115,242.158514565921,1.10271811598651,0.0887494397609415,NA,0.504793055127839
"5","m005","~camhours ~ ele.s + distP.v + distSH.v",0.77050662603185,0.45455412434144,0.361665426550472,0.385824716560317,-0.516917830673801,0.287486034385861,-1.12539795153157,0.874664619659719,NA,NA,-0.000341747934791872,0.25014944953234,-5.89312899655122,0.927899745574945,0,54.4028143743531,115.135215270927,6,115,242.270430541854,1.21463409191958,0.0839195941410563,NA,0.588712649268896
"10","m010","~camhours + cam_angle ~ ele.s + distP.v",0.737307913036645,0.434013911308949,NA,NA,-0.485866253541459,0.303495405437253,-1.01005371780471,0.88311318084828,0.72311261587802,1.1317910311183,-0.00112451231085111,0.24859252074072,-6.54163516838933,1.41637181053497,0,129.218111882892,115.361719328139,6,115,242.723438656278,1.66764220634366,0.0669104441373095,NA,0.655623093406205
"4","m004","~camhours ~ ele.s + distSH.v",NA,NA,0.420568905486419,0.378102632117666,-0.628987865008576,0.28751904585632,-1.11303852592349,0.711581050421678,NA,NA,-0.00204158988752985,0.25008532976353,-5.67691298409269,0.758073811541675,0,29.4265262370956,116.428891277173,5,115,242.857782554347,1.80198610441244,0.0625635676065415,NA,0.718186661012747
"13","m013","~camhours + cam_angle ~ distP.v",0.846089332888206,0.435025284780979,NA,NA,NA,NA,-1.29592240876797,0.630793330306081,0.754793913178894,1.16046262627972,-0.0192690384605253,0.25286732478334,-6.23393869966123,1.28253772814325,0,97.9844727937959,116.56504140002,5,115,243.13008280004,2.07428635010606,0.0545999517321029,NA,0.772786612744849
"8","m008","~camhours ~ distP.v + distSH.v",0.933417808855329,0.463539849811216,0.254461712980274,0.421224601545609,NA,NA,-1.40941038812199,0.657152171883931,NA,NA,-0.0207295462031117,0.253686556238275,-5.55263635677889,0.691767574236696,0,22.6804648543403,116.614612075775,5,115,243.229224151549,2.173427701615,0.0519593832990547,NA,0.824745996043904
"9","m009","~camhours + cam_angle ~ ele.s",NA,NA,NA,NA,-0.542118710469201,0.298743244064914,-0.972579074485281,0.699295443152884,0.975696801729279,1.12518735958452,-0.00291534213405491,0.248550778417028,-6.56320150725286,1.31167675646174,0,99.4945245153225,116.640254019323,5,115,243.280508038647,2.22471158871247,0.0506439805406464,NA,0.875389976584551
"12","m012","~camhours + cam_angle ~ ele.s + distP.v + distSH.v",0.742494525815277,0.465641978157502,0.338772648362555,0.390237268513902,-0.509834539298958,0.288573728808979,-1.07009990567883,0.887483041285224,0.626316277686927,1.14624059146196,0.00139595783159929,0.249755079935593,-6.4971545329313,1.41978725115944,0,141.426977282697,114.971581481099,7,115,243.943162962197,2.88736651226313,0.0363608598636364,NA,0.911750836448187
"11","m011","~camhours + cam_angle ~ ele.s + distSH.v",NA,NA,0.389158655316506,0.384772058133526,-0.62725033701122,0.285056975855381,-1.0285345322202,0.736364322046229,0.859028648314583,1.13806748780133,0.000865802511051444,0.249408718825734,-6.52962012066485,1.33570556049461,0,111.682216461162,116.106194833284,6,115,244.212389666569,3.15659321663435,0.0317813476388264,NA,0.943532184087014
"15","m015","~camhours + cam_angle ~ distP.v + distSH.v",0.920053722085716,0.467860589974632,0.238261687020419,0.427035663220357,NA,NA,-1.36029532864381,0.662148634339296,0.71327666102658,1.16365160379916,-0.0188998066570246,0.253300982596841,-6.24085796664612,1.29749177131634,0,105.481391186568,116.408819173292,6,115,244.817638346584,3.76184189664988,0.023482494424424,NA,0.967014678511438
"7","m007","~camhours ~ distSH.v",NA,NA,0.125622784815701,0.388853926245681,NA,NA,-1.26944711929877,0.531141121781619,NA,NA,-0.0227291844638848,0.254097513313198,-5.33318188630899,0.558892297359344,0,12.3457749356054,118.470993204506,4,115,244.941986409012,3.88618995907746,0.0220669539757096,NA,0.989081632487147
"14","m014","~camhours + cam_angle ~ distSH.v",NA,NA,0.0996699641331631,0.40072125987005,NA,NA,-1.21409488009838,0.534411676585638,0.859174211066079,1.17199689151901,-0.0211345967725203,0.253672316241826,-6.1582818089629,1.24087919240789,0,86.5968434794912,118.174627934762,5,115,246.349255869524,5.29345941958965,0.0109183675128529,NA,1
