"","model","formula","lam(disturbance.v)","SElam(disturbance.v)","lam(disturbance)","SElam(disturbance)","lam(ele.s)","SElam(ele.s)","lam(Int)","SElam(Int)","p(cam_angle)","SEp(cam_angle)","p(camhours)","SEp(camhours)","p(Int)","SEp(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","m001","~1 ~ 1",NA,NA,NA,NA,NA,NA,-1.23398872444124,0.518204532390163,NA,NA,NA,NA,-5.3289546423474,0.559409286868282,0,11.0529140544149,118.527898224967,2,115,241.055796449934,0,0.196915278600264,NA,0.196915278600264
"2","m002","~camhours ~ ele.s",NA,NA,NA,NA,-0.52359028398083,0.301287047003344,-1.05562831831359,0.674252286219613,NA,NA,-0.00613164071030101,0.24939819547321,-5.59470601731347,0.733468834023323,0,24.7412992919969,117.07925728296,4,115,242.158514565921,1.10271811598651,0.113455934628374,NA,0.310371213228638
"4","m004","~camhours ~ ele.s + disturbance.v",-0.517325543201552,0.346279473891038,NA,NA,-0.514050503570623,0.302359755423861,-1.09308132032196,0.827266965812311,NA,NA,-0.00782925006993463,0.249764121233085,-5.76816871254598,0.896210476547473,0,46.0861996327684,116.079611167187,5,115,242.159222334373,1.10342588443908,0.113415791466166,NA,0.423787004694804
"11","m011","~camhours + cam_angle ~ ele.s + disturbance.v",-0.593380470947874,0.349217607137894,NA,NA,-0.576154818941485,0.306970838846134,-0.924702414327089,0.980831535622203,1.18407714859993,1.10486480253208,-0.00288990533521641,0.24862630209407,-7.06185901909068,1.53779168797995,0,150.452545074566,115.378889930356,6,115,242.757779860711,1.70198341077719,0.0840811053576381,NA,0.507868110052442
"7","m007","~camhours ~ disturbance.v",-0.542442453490507,0.354397913487882,NA,NA,NA,NA,-1.36784259995749,0.583753833346264,NA,NA,-0.0251291142038211,0.254059079510266,-5.40993434501411,0.609921104253109,0,17.1142140053916,117.463044672453,4,115,242.926089344906,1.87029289497195,0.0772948346225487,NA,0.585162944674991
"9","m009","~camhours + cam_angle ~ ele.s",NA,NA,NA,NA,-0.542118710469201,0.298743244064914,-0.972579074485281,0.699295443152884,0.975696801729279,1.12518735958452,-0.00291534213405491,0.248550778417028,-6.56320150725286,1.31167675646174,0,99.4945245153225,116.640254019323,5,115,243.280508038647,2.22471158871247,0.0647424948373476,NA,0.649905439512338
"5","m005","~camhours ~ ele.s + disturbance + disturbance.v",-0.565644721876795,0.362912356453905,0.276974239045552,0.340685347432882,-0.450493416494263,0.289237149305525,-1.00183387113891,1.03410551500995,NA,NA,-0.00598341095404985,0.250129373814863,-5.98894927097053,1.13597025262971,0,90.7608094400794,115.769197925243,6,115,243.538395850486,2.48259940055203,0.0569101596600254,NA,0.706815599172364
"3","m003","~camhours ~ ele.s + disturbance",NA,NA,0.23637428609271,0.351220557627121,-0.480361842827739,0.288114273867791,-1.01773181187036,0.759729718085931,NA,NA,-0.00484085386400359,0.249674838129275,-5.72829154213105,0.838896014957161,0,40.3048690552257,116.864229120809,5,115,243.728458241619,2.67266179168467,0.0517509444658913,NA,0.758566543638255
"8","m008","~camhours ~ disturbance + disturbance.v",-0.627791169987141,0.380338220462896,0.331156319360508,0.329862790548394,NA,NA,-1.36406154598037,0.687617655120474,NA,NA,-0.0227496577694132,0.254071080264088,-5.59358063380137,0.741520820110682,0,29.1212803575717,116.993143001823,5,115,243.986286003647,2.93048955371222,0.0454916504040392,NA,0.804058194042294
"12","m012","~camhours + cam_angle ~ ele.s + disturbance + disturbance.v",-0.673630035412233,0.378417679871909,0.308648058696822,0.351451432976695,-0.500632387210744,0.292057138347108,-0.738897649127114,1.43868259037559,1.19727176272494,1.09140944342155,-0.00119742008611489,0.249147286709471,-7.4199219612221,1.95666263257445,0,297.840446882847,115.018522751445,7,115,244.03704550289,2.98124905295563,0.0443516118473932,NA,0.848409805889687
