"","model","formula","lam(dis.s)","SElam(dis.s)","lam(ele.s)","SElam(ele.s)","lam(Int)","SElam(Int)","lam(PASLvshilin)","SElam(PASLvshilin)","lam(PASMangao)","SElam(PASMangao)","lam(PASMengla)","SElam(PASMengla)","lam(PASMengsong)","SElam(PASMengsong)","lam(PASNabanhe)","SElam(PASNabanhe)","lam(pop.s)","SElam(pop.s)","p(cam_angle)","SEp(cam_angle)","p(camhours)","SEp(camhours)","p(Int)","SEp(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","m001","~1 ~ 1",NA,NA,NA,NA,-1.23398872444124,0.518204532390163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.3289546423474,0.559409286868282,0,11.0529140544149,118.527898224967,2,115,241.055796449934,0,0.234527508340356,NA,0.234527508340356
"2","m002","~camhours ~ ele.s",NA,NA,-0.52359028398083,0.301287047003344,-1.05562831831359,0.674252286219613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00613164071030101,0.24939819547321,-5.59470601731347,0.733468834023323,0,24.7412992919969,117.07925728296,4,115,242.158514565921,1.10271811598651,0.135126831416846,NA,0.369654339757202
"7","m008","~camhours ~ pop.s",NA,NA,NA,NA,-0.980882088881395,0.700008632479594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.499372419580808,0.278861793795123,NA,NA,-0.0149416136556648,0.252925141661155,-5.6454979724516,0.75851021655483,0,27.1287388171923,117.133978611782,4,115,242.267957223563,1.21216077362917,0.127931184793159,NA,0.497585524550361
"14","m016","~camhours + cam_angle ~ pop.s",NA,NA,NA,NA,-0.893056221880885,0.724329294955872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.528325412360694,0.275137070788668,1.00960716362577,1.11024997356861,-0.012875093838832,0.25242136309452,-6.6483315622028,1.31473633244725,0,100.147259708711,116.63970041348,5,115,243.27940082696,2.22360437702574,0.0771514751251811,NA,0.574736999675542
"3","m003","~camhours ~ ele.s + pop.s",NA,NA,-0.325924375075914,0.403588400800493,-0.953085366236494,0.745061918160411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.275762638398388,0.380616174727068,NA,NA,-0.00816713275698395,0.250788345786283,-5.70032295537621,0.806389333235875,0,40.1208421149256,116.811385101156,5,115,243.622770202312,2.56697375237724,0.0649804211323503,NA,0.639717420807892
"8","m009","~camhours ~ pop.s + dis.s",0.205833255072619,0.329784939890488,NA,NA,-0.935054677786041,0.720611446166537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57315063416062,0.305589914755977,NA,NA,-0.0139634745263828,0.253326196087112,-5.68380782990593,0.772147303695422,0,30.1400973923204,116.946968648784,5,115,243.893937297569,2.83814084763446,0.0567413069735184,NA,0.696458727781411
"4","m005","~camhours ~ PAS",NA,NA,NA,NA,-1.98984267945997,1.4016323988402,3.30001082762098,1.18813380024426,1.59552514077534,1.42140898822007,1.69233773460661,1.12960776064812,1.12348568989848,1.41513865728249,2.01176528524475,1.16549771969839,NA,NA,NA,NA,-0.00569791376590207,0.25735814768088,-6.21968689628243,1.1999415296262,0,194.323874001394,114.129553867278,8,115,244.259107734556,3.20331128462149,0.0472719570301415,NA,0.743730684811552
"15","m017","~camhours + cam_angle ~ 1",NA,NA,NA,NA,-1.18636140797256,0.520180668824818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.881511912967046,1.16546397645117,-0.0208599502382003,0.253391712643794,-6.17575972475517,1.23499755295561,0,81.1613226529953,118.205848690694,4,115,244.411697381389,3.35590093145453,0.0437995008690939,NA,0.787530185680646
"5","m006","~camhours ~ pop.s + PAS",NA,NA,NA,NA,-3.06533913695196,1.47740383584281,7.10940364273072,3.2184724796901,2.45754173838528,1.55747460792362,1.2767877109422,1.16571060844375,1.63952951479332,1.47589763260671,4.44668106412645,2.10166226284977,-1.49318382709381,1.17147410108696,NA,NA,-0.00499954756175592,0.258082101042396,-5.98361055121786,0.914147227877518,0,599.087458154891,113.268058246709,9,115,244.536116493419,3.48032004348443,0.0411577755536649,NA,0.828687961234311
"10","m011","~camhours + cam_angle ~ pop.s + dis.s",0.236344252875664,0.330343037851092,NA,NA,-0.831011379604701,0.752924996895377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.615139911949262,0.303480940379327,1.05484605765111,1.10452948787037,-0.0117213543851036,0.252776268409464,-6.74219126711758,1.32872958948369,0,105.396770937822,116.395066556253,6,115,244.790133112507,3.73433666257247,0.0362487376075764,NA,0.864936698841887
"12","m013","~camhours + cam_angle ~ PAS",NA,NA,NA,NA,-1.87658170288724,1.49796816327575,3.239410432549,1.19318361816263,1.53045811030556,1.42269570755545,1.71488462282741,1.13230487063985,1.05375396386433,1.41581363617339,2.1999752231632,1.1750401200964,NA,NA,0.942845805266164,1.11958482012837,-0.00499222661792871,0.256860793721403,-7.21270037548749,1.72753314984384,0,274.842613865344,113.713753835532,9,115,245.427507671064,4.37171122112943,0.0263565620146327,NA,0.89129326085652
"13","m014","~camhours + cam_angle ~ pop.s + PAS",NA,NA,NA,NA,-3.0142597824161,1.50165189031321,7.16009619981072,3.161053928542,2.40457226251721,1.54981891157012,1.27466004092666,1.16605279307227,1.57571800848576,1.4738375558359,4.7509854295807,2.09285279214392,-1.5440391990905,1.1513332604222,1.05391145580058,1.14121367967303,-0.00321693373126473,0.257441482565594,-7.0380002538472,1.45759881775787,0,775.097095846997,112.769692122937,10,115,245.539384245874,4.4835877959398,0.0249226988693171,NA,0.916215959725837
"11","m012","~camhours + cam_angle ~ pop.s + dis.s + PAS",-0.641034251057643,0.452746275864474,NA,NA,-3.83673671097726,1.76840942307444,9.42736162779427,3.63879286713729,3.10473385940872,1.64385686436706,1.99690914574204,1.20846613847815,1.69887066617473,1.48722049859186,6.72033520883821,2.57001929310072,-2.44464193439319,1.35579877771288,1.08431407994244,1.13031060318359,-0.00219115339480877,0.257604425858777,-7.21616223535673,1.57247951784422,0,1120.33273497531,111.770078976726,11,115,245.540157953452,4.48436150351728,0.0249130592935073,NA,0.941129019019344
"9","m010","~camhours + cam_angle ~ ele.s + pop.s + dis.s",0.326696990406853,0.352361248795561,-0.420708634160955,0.430829023575379,-0.772399286430711,0.827235736468779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.348357936284116,0.391712381078953,1.0243858945123,1.09980594690545,-0.00254816619276855,0.249815038049057,-6.80136461794793,1.36871645847383,0,134.929605499786,115.917823807737,7,115,245.835647615474,4.77985116554001,0.0214912807118783,NA,0.962620299731223
"6","m007","~camhours ~ ele.s + PAS",NA,NA,-0.172774175982856,0.421074622401837,-1.86895526518427,1.53018395286516,2.96621756449138,1.42725627977554,1.6035835327621,1.42150830000073,1.75362827229816,1.14047707822762,1.15017223720705,1.41647692220168,1.87092526572383,1.21394698807239,NA,NA,NA,NA,-0.00410696877417063,0.256767832589061,-6.3167006759456,1.36953565388999,0,239.236850105834,114.045642009854,9,115,246.091284019708,5.03548756977403,0.0189126139171477,NA,0.98153291364837
"16","m018","~camhours ~ ele.s + pop.s + PAS + dis.s",-0.464979738410018,0.513269137569352,-0.391454508473049,0.562006801288969,-4.00529972539965,1.78912245433188,9.57787124709782,3.78724163729336,3.41555542480759,1.73239043491597,1.83939607042439,1.209082633094,2.05971167209061,1.57993832740002,6.70600690105244,2.71888735785575,-2.73209229782035,1.47502665273077,NA,NA,-0.00194611241350073,0.25758700511471,-6.12390294012538,1.06008579262936,0,1220.30296507644,112.06948108088,11,115,246.138962161759,5.08316571182505,0.0184670863516296,NA,1
