"","model","formula","lam(dis.s)","SElam(dis.s)","lam(ele.s)","SElam(ele.s)","lam(Int)","SElam(Int)","lam(PASLvshilin)","SElam(PASLvshilin)","lam(PASMangao)","SElam(PASMangao)","lam(PASMengla)","SElam(PASMengla)","lam(PASMengsong)","SElam(PASMengsong)","lam(PASNabanhe)","SElam(PASNabanhe)","p(cam_angle)","SEp(cam_angle)","p(camhours)","SEp(camhours)","p(Int)","SEp(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"13","m013","~camhours + cam_angle ~ PAS",NA,NA,NA,NA,-0.865709360023464,0.664783597235981,0.379761088895481,1.11940366530924,1.17888730822338,0.75043327403661,0.304292301622536,0.669274697165712,1.26547174558793,0.679400849199523,2.04239031359958,0.601483257452607,14.4012740904108,433.188294350975,10.3141050626386,155.852565347242,-20.4171055181645,433.262456224103,0,33326100.986348,245.556369621764,9,115,509.112739243528,0,0.483451337060193,NA,0.483451337060193
"12","m012","~camhours + cam_angle ~ ele.s + dis.s + PAS",0.594083812063114,0.431040896047583,0.0561735072648165,0.319017827525382,-0.381087758647127,0.845022962734095,0.647585309589862,1.28008208288444,1.06465308998166,0.759928091850949,-0.836201442889631,1.06818630068436,1.47463396472974,0.686201768049676,1.88290397861152,0.730882538921776,11.6809367389353,105.603081702291,8.82137633688779,110.521054967059,-17.8316702570765,105.713671546672,0,2107274.39561174,243.733758697254,11,115,509.467517394508,0.354778150979655,0.404868202047219,NA,0.888319539107412
"15","m017","~camhours + cam_angle ~ 1",NA,NA,NA,NA,-0.529681352690617,0.322312158796671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.95121639447266,21.1784513204488,2.44022357494399,18.0576186408127,-13.0582272796599,21.1939984462899,0,60049.531723791,252.839178306232,4,115,513.678356612464,4.5656173689361,0.0493107434961394,NA,0.937630282603551
"10","m010","~camhours + cam_angle ~ ele.s",NA,NA,-0.093723425084576,0.20556123038951,-0.512741551284015,0.326526484512839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2235582415132,65.3491625109233,5.23733596968649,59.7999734950776,-15.4618660289083,65.4000771685868,0,575290.874179676,252.730316499383,5,115,515.460632998765,6.34789375523729,0.0202267054848877,NA,0.957856988088439
"14","m016","~camhours + cam_angle ~ dis.s",0.0497124038744052,0.193013225652556,NA,NA,-0.523303123204029,0.323996361066813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.96864607278951,21.3363157188106,3.03395209206935,25.6691905753847,-13.1060006075534,21.3661983525126,0,61323.878234907,252.805042400512,5,115,515.610084801025,6.497345557497,0.018770338487017,NA,0.976627326575456
"11","m011","~camhours + cam_angle ~ ele.s + dis.s",0.102140301836461,0.215047351997867,-0.136272630934996,0.226392682410854,-0.493391132089849,0.330933597275294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.6201378877311,79.2174596780026,6.0208126220009,73.1056940986045,-15.9048053747909,79.2802780429718,0,854485.287973479,252.619110230922,6,115,517.238220461843,8.12548121831543,0.00831623853487568,NA,0.984943565110332
"6","m006","~camhours ~ dis.s + PAS",0.517594631850134,0.337476006511617,NA,NA,-0.840920654434083,0.641875086798314,0.608726403359181,1.12146992294256,1.15316489280719,0.762935717602068,-0.671464698143918,0.96466149452364,1.53713293643203,0.694719992640634,1.38156374937606,0.638596148585128,NA,NA,8.30876827402289,112.450614414936,-5.75144131126412,4.85277939651061,0,731755.140871399,250.618899369247,9,115,519.237798738494,10.1250594949664,0.00306001835742995,NA,0.988003583467762
"5","m005","~camhours ~ PAS",NA,NA,NA,NA,-1.19113067156551,0.582919953566953,0.48499854650879,1.12057302007729,1.26635276408813,0.757306337861163,0.281336926572554,0.671572655282693,1.3580986546719,0.690600162149485,1.59416836666992,0.618887770768674,NA,NA,5.64373815260751,61.0157239742592,-5.56295173011886,2.65806986128037,0,209445.055062095,251.842706813156,8,115,519.685413626311,10.5726743827834,0.00244639000648919,NA,0.990449973474251
"9","m009","~camhours ~ 1",NA,NA,NA,NA,-0.724517005114466,0.310187227610323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.86275336797593,22.6447128445761,-5.08238634576371,1.01996334129449,0,22269.8303434911,256.852861780044,3,115,519.705723560089,10.5929843165607,0.00242167271104547,NA,0.992871646185296
"1","m001","~1 ~ 1",NA,NA,NA,NA,-0.716453148999448,0.312764756924695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.9950376548842,0.311700573067429,0,7.48742455993032,257.879437691387,2,115,519.758875382773,10.6461361392452,0.00235816221440789,NA,0.995229808399704
"7","m007","~camhours ~ ele.s + PAS",NA,NA,0.266598622945275,0.269583530576004,-1.25525578121488,0.600926901683504,1.08166929116493,1.28230856276277,1.32324074153666,0.761201947106765,0.235365415641114,0.673298190960507,1.36037260519524,0.687324671068193,1.88996704412572,0.683010338517726,NA,NA,6.55218693795588,74.2783678408172,-5.66084571696379,3.22456136398936,0,318017.664065316,251.36220035347,9,115,520.72440070694,11.6116614634117,0.00145516592348866,NA,0.996684974323193
"4","m004","~camhours ~ ele.s + dis.s + PAS",0.491925317508103,0.409187284502099,0.0376302277401938,0.327508942054207,-0.858928330331045,0.672421322063755,0.674189878527776,1.29116030106969,1.15871279634928,0.767184262302936,-0.640938670052486,1.01634676857573,1.51869295839899,0.704485129288894,1.42096340229542,0.745823279344023,NA,NA,13.1628815098733,266.747450894557,-5.96304394628514,11.4638290207911,0,4128597.00873577,250.611446586702,10,115,521.222893173404,12.1101539298763,0.00113413891482807,NA,0.997819113238021
"2","m002","~camhours ~ ele.s",NA,NA,-0.0527880818737519,0.210556565899623,-0.717457571459429,0.312365416296138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.77040942688439,21.2782488799512,-5.08307717745641,0.964730928770822,0,19729.8740758988,256.821845050104,4,115,521.643690100207,12.5309508566795,0.000918948896636253,NA,0.998738062134657
"8","m008","~camhours ~ dis.s",0.0358352145045271,0.196356908093737,NA,NA,-0.721558953358585,0.311085797148843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.69276874828794,34.5643441737888,-5.12036932899132,1.51606865276733,0,51983.0356139546,256.835267311608,4,115,521.670534623216,12.5577953796883,0.000906696932707586,NA,0.999644759067365
"3","m003","~camhours ~ ele.s + dis.s",0.0690971314695535,0.220070056438715,-0.0844331365142874,0.23429098842183,-0.707017244691419,0.315286162072087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.87413223221497,22.3764808563839,-5.09511427147625,1.01018553883831,0,21940.1963977999,256.772279320582,5,115,523.544558641164,14.4318193976356,0.0003552409326354,NA,1
