"","model","formula","lam(dis.v.s)","SElam(dis.v.s)","lam(ele.s)","SElam(ele.s)","lam(Int)","SElam(Int)","lam(PASLvshilin)","SElam(PASLvshilin)","lam(PASMangao)","SElam(PASMangao)","lam(PASMengla)","SElam(PASMengla)","lam(PASMengsong)","SElam(PASMengsong)","lam(PASNabanhe)","SElam(PASNabanhe)","lam(pop.s)","SElam(pop.s)","p(cam_angle)","SEp(cam_angle)","p(camhours)","SEp(camhours)","p(Int)","SEp(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"10","m010","~camhours + cam_angle ~ ele.s + pop.s + dis.v.s",-0.32334155202329,0.227599287753623,0.552894559042733,0.29904285415327,-0.28205034596522,0.468229590889968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.874597311193499,0.318053471827725,11.0136217221862,89.2029031373096,7.33170509933248,76.0730526877158,-16.7399648757165,89.2643750689491,0,1389214.99110171,247.200632722677,7,115,508.401265445355,0,0.306428616368885,NA,0.306428616368885
"13","m013","~camhours + cam_angle ~ PAS",NA,NA,NA,NA,-0.865709360023464,0.664783597235981,0.379761088895481,1.11940366530924,1.17888730822338,0.75043327403661,0.304292301622536,0.669274697165712,1.26547174558793,0.679400849199523,2.04239031359958,0.601483257452607,NA,NA,14.4012740904108,433.188294350975,10.3141050626386,155.852565347242,-20.4171055181645,433.262456224103,0,33326100.986348,245.556369621764,9,115,509.112739243528,0.711473798173017,0.214701336510354,NA,0.521129952879239
"11","m011","~camhours + cam_angle ~ pop.s + dis.v.s",-0.357222733859514,0.244381450340148,NA,NA,-0.339683241106927,0.420489263624098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.418015450662626,0.182957099110511,14.5504146529218,525.830943892252,5.1055767813287,47.6284369231652,-20.0475363049839,525.833688081867,0,45193909.8046268,248.925770452295,6,115,509.85154090459,1.45027545923455,0.148390468368526,NA,0.669520421247765
"15","m016","~camhours + cam_angle ~ pop.s",NA,NA,NA,NA,-0.374188389731617,0.373238889527311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.451052248510783,0.179544997752041,9.41616624524288,42.1766874735947,3.1533588245553,23.6250005364537,-14.7303021850859,42.1902136351861,0,271668.703635364,250.145430062142,5,115,510.290860124285,1.88959467892965,0.119126682953419,NA,0.788647104201184
"14","m014","~camhours + cam_angle ~ pop.s + PAS",NA,NA,NA,NA,-0.996134643849339,0.756477333733549,1.0861497004477,2.08865448818399,1.35364823605695,0.863351473413113,0.237837171935219,0.68991723385413,1.36535630627594,0.720574601613157,2.56174060956447,1.41145826796076,-0.269916795068875,0.675886404135818,12.5125790796153,165.295023619465,3.75065214690964,33.4438237792015,-18.2825619457159,165.303015931148,0,5157406.51522108,245.483750780422,10,115,510.967501560845,2.56623611548986,0.0849333449004331,NA,0.873580449101617
"12","m012","~camhours + cam_angle ~ pop.s + dis.v.s + PAS",-0.287326727719312,0.300552570034162,NA,NA,-0.878348278365187,0.799839664666431,0.872743098431018,2.08644789695533,1.2222565292474,0.862051851397959,0.387291993780176,0.712046884876183,1.01107277516309,0.776803119658744,2.36611642930291,1.40818485106679,-0.213742536763412,0.674559010287139,11.6877351930468,106.587392372619,9.03288610372717,120.610157712661,-17.771729813778,106.717724067603,0,2308779.61094013,244.981216618279,11,115,511.962433236558,3.56116779120339,0.0516453898130181,NA,0.925225838914635
"18","m020","~camhours + cam_angle ~ ele.s + pop.s + PAS + dis.v.s",-0.2513431076181,0.29007006204134,0.362853186142408,0.307312160253088,-0.708518331493899,0.803467523279274,0.481124343467975,2.06821386550176,1.0099246692963,0.870869935417146,0.394264375702585,0.704958992008403,0.864293347391259,0.799176169508807,1.90457465457257,1.40832079519146,0.247560238065718,0.770236694444762,10.4887780692872,59.1803472736386,10.8293704574386,161.769563936492,-16.6997630273131,59.5917928134423,0,2722822.79166829,244.277879871817,12,115,512.555759743634,4.15449429827913,0.0383877224200709,NA,0.963613561334706
"16","m017","~camhours + cam_angle ~ 1",NA,NA,NA,NA,-0.529681352690617,0.322312158796671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.95121639447266,21.1784513204488,2.44022357494399,18.0576186408127,-13.0582272796599,21.1939984462899,0,60049.531723791,252.839178306232,4,115,513.678356612464,5.27709116710912,0.0218989621526731,NA,0.985512523487379
"3","m003","~camhours ~ ele.s + pop.s",NA,NA,0.518119785801202,0.303862215744679,-0.600541936552792,0.368428967835842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.808833796308471,0.315525854420731,NA,NA,5.90779569681235,62.5697357840809,-5.4308021743933,2.71361952185774,0,227082.009472179,253.349474254067,5,115,516.698948508134,8.29768306277924,0.00483626775169594,NA,0.990348791239075
"8","m008","~camhours ~ pop.s",NA,NA,NA,NA,-0.614830834631389,0.345007533438909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.397209023346399,0.185956170117875,NA,NA,2.79023529575345,19.3034926779166,-5.21637807051069,0.899276789833184,0,18937.2470036544,254.840646211617,4,115,517.681292423234,9.28002697787906,0.00295935500248556,NA,0.99330814624156
