"","model","formula","lam(disturbance.v)","SElam(disturbance.v)","lam(disturbance)","SElam(disturbance)","lam(ele.s)","SElam(ele.s)","lam(Int)","SElam(Int)","p(cam_angle)","SEp(cam_angle)","p(camhours)","SEp(camhours)","p(Int)","SEp(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"9","m009","~camhours + cam_angle ~ ele.s",NA,NA,NA,NA,-0.093723425084576,0.20556123038951,-0.512741551284015,0.326526484512839,10.2235582415132,65.3491625109233,5.23733596968649,59.7999734950776,-15.4618660289083,65.4000771685868,0,575290.874179676,252.730316499383,5,115,515.460632998765,0,0.222361782586033,NA,0.222361782586033
"14","m014","~camhours + cam_angle ~ disturbance.v",-0.103282085840834,0.28366845582821,NA,NA,NA,NA,-0.554623885047211,0.330986151954142,9.77122038491632,52.3770932780329,5.67524267421576,69.0443439321194,-15.0176941895263,52.4615177544138,0,379803.021025929,252.768258435937,5,115,515.536516871875,0.0758838731094329,0.214082995690647,NA,0.436444778276679
"13","m013","~camhours + cam_angle ~ disturbance",NA,NA,0.0672916185072135,0.232541545877035,NA,NA,-0.549173117703054,0.332577840296698,9.60807211298881,48.6266088954644,4.64555585393719,49.6053276616768,-14.8144776838808,48.673862824923,0,338586.225171666,252.792262311037,5,115,515.584524622075,0.123891623309419,0.209005359476706,NA,0.645450137753385
"11","m011","~camhours + cam_angle ~ ele.s + disturbance.v",-0.101649439753866,0.282972336934588,NA,NA,-0.092431467811405,0.205183555336935,-0.528911829957299,0.337827340579387,5.46561137827501,6.0584666313914,2.59336477452271,19.7799280040207,-10.6040351151204,6.12308081095149,0,27182.6470683415,252.692102574889,6,115,517.384205149778,1.92357215101265,0.0849888125877704,NA,0.730438950341155
"10","m010","~camhours + cam_angle ~ ele.s + disturbance",NA,NA,0.0581971049433368,0.23560534272689,-0.0875269421787117,0.20394066231776,-0.53063510944519,0.337168796224726,8.36520900258776,25.8993269461802,2.60090184585506,19.502818780097,-13.4934210555234,25.9140655832136,0,96482.0837540346,252.705238924535,6,115,517.41047784907,1.949844850305,0.0838796708164152,NA,0.814318621157571
"15","m015","~camhours + cam_angle ~ disturbance + disturbance.v",-0.112984377323388,0.290347625605438,0.0744231781539639,0.231945389457139,NA,NA,-0.579365335779706,0.343111161044015,8.73596347747816,31.3033671944907,4.576177076123,48.6453865875377,-13.9404149797112,31.3739472996342,0,174610.519603791,252.718994674448,6,115,517.437989348896,1.97735635013078,0.0827337426618282,NA,0.897052363819399
"12","m012","~camhours + cam_angle ~ ele.s + disturbance + disturbance.v",-0.114626122025628,0.288149664504657,0.0643885902503969,0.235012259543028,-0.0888324991768081,0.203288457331184,-0.560046723131971,0.347185184510886,13.7137470379872,373.84385096838,3.71834050205732,34.6786378199027,-18.8916566385499,373.84673959144,0,20630242.9821731,252.624122103221,7,115,519.248244206442,3.78761120767672,0.0334649995424994,NA,0.930517363361898
"1","m001","~1 ~ 1",NA,NA,NA,NA,NA,NA,-0.716453148999448,0.312764756924695,NA,NA,NA,NA,-4.9950376548842,0.311700573067429,0,7.48742455993032,257.879437691387,2,115,519.758875382773,4.29824238400795,0.0259243975255655,NA,0.956441760887464
"6","m006","~camhours ~ disturbance",NA,NA,0.0708252296750516,0.232350300684318,NA,NA,-0.746646929493118,0.320900049621371,NA,NA,2.77796190549294,21.2511713344044,-5.08270686645317,0.963290254120897,0,22151.3871060795,256.806906824657,4,115,521.613813649314,6.15318065054839,0.0102544871594677,NA,0.966696248046932
"7","m007","~camhours ~ disturbance.v",-0.0703274651793703,0.280410828433617,NA,NA,NA,NA,-0.742172001168293,0.31850943903104,NA,NA,3.98264865205868,39.3578037809531,-5.13114498778042,1.71789001852364,0,70863.8926534103,256.82010696417,4,115,521.640213928341,6.17958092957554,0.01012001597011,NA,0.976816264017042
