"","model","formula","lam(dis.s)","SElam(dis.s)","lam(ele.s)","SElam(ele.s)","lam(Int)","SElam(Int)","lam(PASLvshilin)","SElam(PASLvshilin)","lam(PASMangao)","SElam(PASMangao)","lam(PASMengla)","SElam(PASMengla)","lam(PASMengsong)","SElam(PASMengsong)","lam(PASNabanhe)","SElam(PASNabanhe)","p(cam_angle)","SEp(cam_angle)","p(camhours)","SEp(camhours)","p(Int)","SEp(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"15","m015","~camhours + cam_angle ~ ele.s + PAS",NA,NA,0.259733973706273,0.119949700168773,-0.548145172639859,0.287464049750837,-7.29303841958426,26.0690370109022,-6.50248839313343,11.0183883203819,1.40086633072337,0.308298230163101,0.358587051430404,0.475039999115911,2.16645042847057,0.339643756551714,1.11769710684126,0.275096779979253,-0.0348074283642551,0.0559001953504483,-4.98175902801694,0.29978102292483,0,297570.574633199,1424.41106083255,10,115,2868.8221216651,0,0.538495646868167,NA,0.538495646868167
"12","m012","~camhours + cam_angle ~ ele.s + dis.s + PAS",-0.0144788307510014,0.141479363335846,0.269346139473928,0.154605836309196,-0.5611837317511,0.315749230900966,-8.00503915211443,37.5686231831657,-11.627433108143,143.191453729519,1.42398871586229,0.382274893344853,0.352681756152349,0.477745038454269,2.18294149991009,0.378854608831923,1.11826533468639,0.275139547353157,-0.0349363602576745,0.0558767938096655,-4.98199766760468,0.299765521957395,0,9875965.85121277,1424.39693891129,11,115,2870.79387782258,1.97175615747938,0.200918897983336,NA,0.739414544851503
"13","m013","~camhours + cam_angle ~ PAS",NA,NA,NA,NA,-0.4663154238692,0.282350119404714,-11.605429053209,169.68417828835,-12.9284074332459,270.179931649655,1.43988955290916,0.308239974514719,0.391888858936101,0.476713384649681,1.92196144117592,0.322496348266471,1.11359236187094,0.274851178683262,-0.0349248578287985,0.0558375954692127,-4.95687798554941,0.297539235072677,0,31267123.8006169,1426.75093605468,9,115,2871.50187210935,2.67975044425293,0.141020347803151,NA,0.880434892654654
"14","m014","~camhours + cam_angle ~ dis.s + PAS",0.141178382385739,0.110975182146146,NA,NA,-0.382014225590335,0.289513050947125,-11.1295913860412,135.938456953982,-13.7928089045511,413.277146129028,1.21557436931355,0.360205016698131,0.441786252063388,0.477331314171878,1.86723355608741,0.325856727955136,1.11019671474373,0.275158089345573,-0.034899048616047,0.055890393976995,-4.96625652550387,0.298592618578251,0,79647684.1280403,1425.93313983621,10,115,2871.86627967242,3.04415800732022,0.11753079790784,NA,0.997965690562494
"7","m007","~camhours ~ ele.s + PAS",NA,NA,0.272925908169979,0.125600929186824,-0.601249181718947,0.285963819204655,-10.3084203082317,121.440129194099,-16.1615774826198,1398.16647921762,1.3504340431727,0.309666360158964,0.383644877250949,0.477530327006667,1.87020534160397,0.340624774967466,NA,NA,-0.036120695619503,0.0559243654905437,-3.83660393512481,0.113569576708575,0,649144237.030505,1431.60246853019,9,115,2881.20493706038,12.3828153952795,0.00110227002790774,NA,0.999067960590401
"4","m004","~camhours ~ ele.s + dis.s + PAS",-0.00196783909141299,0.142833760310656,0.274112193731618,0.160124067447382,-0.603439182124813,0.314626898819686,-8.62173966935377,52.3285700133018,-7.03448997544704,14.6470834229447,1.35404020584745,0.384179543340676,0.380385578574693,0.480836266359634,1.87268942569353,0.378705370716953,NA,NA,-0.0361175365905249,0.0559236279860604,-3.83634210742653,0.113639111734008,0,998958.127054536,1431.60738291982,10,115,2883.21476583965,14.3926441745484,0.000403514573372367,NA,0.999471475163774
"5","m005","~camhours ~ PAS",NA,NA,NA,NA,-0.512884788167229,0.280569144536006,-13.6828148885016,487.578017078766,-14.7224742338167,671.626216087922,1.39664347311911,0.30946332005471,0.424176434056553,0.478332903447932,1.62281882090585,0.323016220101894,NA,NA,-0.0359346283296334,0.0558840631105267,-3.82158545165122,0.111999068639421,0,149042093.76216,1433.97653359687,8,115,2883.95306719375,15.13094552865,0.000278958193751902,NA,0.999750433357526
"6","m006","~camhours ~ dis.s + PAS",0.149701294745496,0.112926694810431,NA,NA,-0.424251036684924,0.2878440695579,-11.175879997965,141.712673096483,-10.3749976541817,75.761327603309,1.15818725074646,0.363254339168095,0.475876319044764,0.479108465412054,1.56412127242313,0.32643871005726,NA,NA,-0.0358845297680229,0.0559321444963614,-3.83299031282613,0.112716528984652,0,6978205.30799913,1433.08786954067,9,115,2884.17573908134,15.3536174162455,0.000249566642469774,NA,0.999999999999995
"16","m016","~camhours + cam_angle ~ dis.s",0.413860092824386,0.0832686599848063,NA,NA,0.148934926817452,0.12771982948588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.432985425419417,0.28977635155983,-0.038348279435046,0.0562481272848429,-4.02801115906063,0.289258350354601,0,64.5191953673936,1462.72632699331,5,115,2935.45265398662,66.6305323215211,1.83039971760256e-15,NA,0.999999999999997
"8","m008","~camhours ~ dis.s",0.420216708770704,0.083230896614083,NA,NA,0.137379481787893,0.125948121429956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0379768348725725,0.0562531090501114,-3.62788443742592,0.0957335123389185,0,6.56265188991331,1463.90532714243,4,115,2935.81065428485,66.9885326197546,1.53040777393273e-15,NA,0.999999999999999
"11","m011","~camhours + cam_angle ~ ele.s + dis.s",0.414410060177567,0.0985105747160124,-0.00139251489580189,0.130438740249573,0.149127154426399,0.129220084235285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.433302048002756,0.291386401546093,-0.038346103008351,0.0562510060169781,-4.02838989220029,0.291761215427928,0,67.2978360478864,1462.72626705201,6,115,2937.45253410402,68.6304124389239,6.73406788899644e-16,NA,0.999999999999999
"3","m003","~camhours ~ ele.s + dis.s",0.41256675624837,0.0984390052497411,0.0190007443085315,0.130426706135489,0.134791625998795,0.127298269142583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0380777708486903,0.0562566984708204,-3.62663170762967,0.0960290477658299,0,7.40587348685607,1463.89470567473,5,115,2937.78941134946,68.9672896843581,5.69017372608362e-16,NA,1
"10","m010","~camhours + cam_angle ~ ele.s",NA,NA,0.235250396848069,0.115098505024415,0.120648738645416,0.124675899618709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.409511571567421,0.281842189483185,-0.0399413286460307,0.0561843931994874,-3.92688285367797,0.278012473933734,0,56.8757650279743,1471.31569499823,5,115,2952.63138999646,83.8092683313635,3.40589152994607e-19,NA,1
