"","model","formula","lam(disturbance.v)","SElam(disturbance.v)","lam(disturbance)","SElam(disturbance)","lam(ele.s)","SElam(ele.s)","lam(Int)","SElam(Int)","p(cam_angle)","SEp(cam_angle)","p(camhours)","SEp(camhours)","p(Int)","SEp(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"12","m012","~camhours + cam_angle ~ ele.s + disturbance + disturbance.v",-0.684489218079183,0.144852278735893,0.512916061254837,0.1041131950703,0.267178442705127,0.0955493453520686,-0.251564324822938,0.165995752071931,0.547314515513897,0.296488131404532,-0.0380046593578665,0.0561198512917542,-4.21720292300301,0.302100460052454,0,79.3736919921425,1453.4787167272,7,115,2920.95743345439,0,0.654414301333996,NA,0.654414301333996
"5","m005","~camhours ~ ele.s + disturbance + disturbance.v",-0.645763905644139,0.143743800217664,0.508584209268899,0.103442351401105,0.291431441525194,0.0959970595305941,-0.261937599766509,0.164436433646939,NA,NA,-0.0380851077621554,0.0561420328926545,-3.69955214867496,0.101028363230401,0,14.1517302630796,1455.22479874374,6,115,2922.44959748749,1.4921640330972,0.310336943775105,NA,0.964751245109101
"15","m015","~camhours + cam_angle ~ disturbance + disturbance.v",-0.609692615229235,0.138062099257106,0.483342637964202,0.105359775623122,NA,NA,-0.169984876181735,0.157952645323252,0.641827465227259,0.29033280221749,-0.0357830709559974,0.056079273393845,-4.30280514683192,0.296784622137237,0,75.7645661351682,1457.61088090205,6,115,2927.2217618041,6.26432834971229,0.0285477026227858,NA,0.993298947731887
"8","m008","~camhours ~ disturbance + disturbance.v",-0.549780974583564,0.135212405095801,0.478108202711016,0.105178875933438,NA,NA,-0.173683423408771,0.155452372231434,NA,NA,-0.0357699626937933,0.0561067582377529,-3.69358041012456,0.100685519755821,0,11.8485909598054,1460.09848688056,5,115,2930.19697376112,9.23954030672849,0.00644929282848452,NA,0.999748240560371
"3","m003","~camhours ~ ele.s + disturbance",NA,NA,0.445664212014938,0.106230241931111,0.237258119533558,0.0994986714452081,-0.0489741335011511,0.140621861851645,NA,NA,-0.0391034115724228,0.0562568455529195,-3.63208290182269,0.0961366195253356,0,8.37411288041997,1464.31782886245,5,115,2938.63565772489,17.6782242705021,9.48582605157769e-05,NA,0.999843098820887
"10","m010","~camhours + cam_angle ~ ele.s + disturbance",NA,NA,0.439458284884768,0.10665383560418,0.223531217422935,0.0998046773712931,-0.03805403760283,0.141996269666464,0.359074460594851,0.285757661103035,-0.0393215567050321,0.0562454214339706,-3.9609147593433,0.283684067619334,0,66.9700402893123,1463.48091119594,6,115,2938.96182239188,18.0043889374865,8.05841072384368e-05,NA,0.999923682928126
"11","m011","~camhours + cam_angle ~ ele.s + disturbance.v",-0.499625985525201,0.127359463058749,NA,NA,0.255245202337718,0.112934761985855,-0.00898803268040732,0.137734305035895,0.522337950054453,0.289142556172022,-0.0390417372420911,0.0560867171221635,-4.0753181078165,0.288252290848344,0,63.1719198171935,1464.53414672937,6,115,2941.06829345873,20.1108600043408,2.81083283777957e-05,NA,0.999951791256503
"13","m013","~camhours + cam_angle ~ disturbance",NA,NA,0.43528590440965,0.109086120526096,NA,NA,-0.00220357060469097,0.140879833960918,0.428937036861681,0.284414875216121,-0.0378881410208042,0.0562173446592442,-4.02770788322357,0.283543805684053,0,65.5228079078269,1466.14808486459,5,115,2942.29616972918,21.3387362747849,1.52126570309675e-05,NA,0.999967003913534
"4","m004","~camhours ~ ele.s + disturbance.v",-0.476017832069485,0.127669025407863,NA,NA,0.282747454745576,0.112734296880107,-0.0205467345549503,0.137075351325848,NA,NA,-0.0388157469252296,0.0561021053272085,-3.58946240367748,0.0916735210693791,0,8.98156893346166,1466.25160414449,5,115,2942.50320828898,21.5457748345866,1.37166236293256e-05,NA,0.999980720537164
"6","m006","~camhours ~ disturbance",NA,NA,0.443535355152822,0.108842207070718,NA,NA,-0.0147355696738587,0.139359047896722,NA,NA,-0.0375799502160747,0.0562242770452402,-3.63384171390914,0.0969472929231422,0,8.27434235608215,1467.35093576756,4,115,2942.70187153513,21.7444380807351,1.24196125178891e-05,NA,0.999993140149682
"14","m014","~camhours + cam_angle ~ disturbance.v",-0.47449556972143,0.125271328352223,NA,NA,NA,NA,0.0408273924560193,0.133015681245467,0.607339649237839,0.286977723508389,-0.0375173842722337,0.0560466347941587,-4.16017051187185,0.287212692461259,0,62.2528670172717,1467.20640902921,5,115,2944.41281805843,23.4553846040344,5.27935333682491e-06,NA,0.999998419503018
"7","m007","~camhours ~ disturbance.v",-0.438746388947504,0.125027547976344,NA,NA,NA,NA,0.033037197627727,0.131758536593083,NA,NA,-0.0371857308552189,0.0560620532569227,-3.59275907170294,0.0920329771617613,0,7.94402233480601,1469.5455846563,4,115,2947.09116931259,26.1337358582014,1.38351586718007e-06,NA,0.999999803018886
"9","m009","~camhours + cam_angle ~ ele.s",NA,NA,NA,NA,0.235250396848069,0.115098505024415,0.120648738645416,0.124675899618709,0.409511571567421,0.281842189483185,-0.0399413286460307,0.0561843931994874,-3.92688285367797,0.278012473933734,0,56.8757650279743,1471.31569499823,5,115,2952.63138999646,31.6739565420708,8.66843123876199e-08,NA,0.999999889703198
"2","m002","~camhours ~ ele.s",NA,NA,NA,NA,0.25412248929925,0.114797146109684,0.111985947212667,0.123476724461778,NA,NA,-0.0396261973791411,0.0561911382453219,-3.55233472460684,0.0897443237334687,0,6.53062135728182,1472.44916372233,4,115,2952.89832744466,31.9408939902642,7.58535268190749e-08,NA,0.999999965556725
"1","m001","~1 ~ 1",NA,NA,NA,NA,NA,NA,0.151676508192783,0.119737987973874,NA,NA,NA,NA,-3.55295709507382,0.0903955529302519,0,3.88977500805562,1475.23865415222,2,115,2954.47730830444,33.5198748500443,3.44432751431087e-08,NA,1
