"","model","formula","lam(dis.s)","SElam(dis.s)","lam(ele.s)","SElam(ele.s)","lam(Int)","SElam(Int)","lam(PASLvshilin)","SElam(PASLvshilin)","lam(PASMangao)","SElam(PASMangao)","lam(PASMengla)","SElam(PASMengla)","lam(PASMengsong)","SElam(PASMengsong)","lam(PASNabanhe)","SElam(PASNabanhe)","p(cam_angle)","SEp(cam_angle)","p(camhours)","SEp(camhours)","p(Int)","SEp(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"13","m013","~camhours + cam_angle ~ PAS",NA,NA,NA,NA,-9.82116363876824,30.0372728088158,-2.0125364967052,192.856083912324,-2.6162955328225,210.014680055224,-7.24528954834915,1074.47111095451,-1.81197798643339,132.863459216822,8.91756681518489,30.0395663579734,-1.42825736462879,0.911484138535189,0.0737835049316926,0.365610269264758,-3.14179301012037,0.417747189457833,0,19543095.7677262,79.5642883007772,9,115,177.128576601554,0,0.320747786889874,NA,0.320747786889874
"5","m005","~camhours ~ PAS",NA,NA,NA,NA,-14.3429374469778,264.297829296012,-2.20683274754342,1484.71288357533,-2.6443704494084,1529.77070719311,-6.03908830526941,4491.50741654878,-2.24486682615997,1386.28272072634,13.2384231651181,264.298196871606,NA,NA,0.0660362197726531,0.366643204326295,-3.45216901019468,0.332547391406829,0,303446571.168409,81.098404339391,8,115,178.196808678782,1.06823207722752,0.188018256105672,NA,0.508766042995547
"14","m014","~camhours + cam_angle ~ dis.s + PAS",-0.113235606100206,0.680596800171822,NA,NA,-9.81883291198191,29.08194383315,-2.00808066774182,184.623065752435,-2.61038217938905,205.063417472143,-7.22840981503029,1126.38968670667,-1.80839614658861,126.368810358142,8.90270044855647,29.0831522172862,-1.43196096164368,0.916681103025377,0.0733018841295735,0.365578895307642,-3.14954132962295,0.420989119056933,0,21924446.110796,79.5502313844856,10,115,179.100462768971,1.9718861674167,0.119666896444321,NA,0.628432939439867
"15","m015","~camhours + cam_angle ~ ele.s + PAS",NA,NA,-0.0422791590422563,0.513036051905488,-9.8124591099389,30.0654911527332,-2.00927460260231,184.794141623914,-2.61700390427551,210.303123115732,-7.2459403774089,1078.89607901004,-1.81366596985712,133.653475245983,8.88208999132716,30.0709599776623,-1.4301924921117,0.914520686969997,0.0734888628637045,0.365571362095982,-3.14198444140336,0.41911758877301,0,22947659.89547,79.5608879054868,10,115,179.121775810974,1.9931992094192,0.118398434349691,NA,0.746831373789559
"6","m006","~camhours ~ dis.s + PAS",-0.157838849281111,0.686083043533311,NA,NA,-14.5703621687384,282.624956388881,-2.21659546149325,1570.16552955281,-2.61302324963161,1631.50133325617,-5.85606362339552,5067.1729538477,-2.28065438654244,1476.22780452264,13.4408759879482,282.62514278196,NA,NA,0.0655622174474696,0.366790154621751,-3.45664544115171,0.33397740921814,0,393085546.79011,81.071353342227,9,115,180.142706684454,3.01413008289967,0.0710646525664372,NA,0.817896026355996
"7","m007","~camhours ~ ele.s + PAS",NA,NA,-0.0601206429897299,0.502806731491352,-14.0537811434232,230.195567849505,-2.01991510927967,1114.19563295452,-2.61320416426471,1318.28969823289,-6.02250512248196,4077.28427024686,-2.18571616131951,1185.65120372839,12.9105786099151,230.196377522727,NA,NA,0.0656003579159798,0.366567903588741,-3.45178401336361,0.332807734772904,0,292957790.864184,81.0912184282,9,115,180.1824368564,3.05386025484549,0.0696668765694975,NA,0.887562902925493
"12","m012","~camhours + cam_angle ~ ele.s + dis.s + PAS",-0.226375214957265,1.24081399552977,0.102328793543104,0.943772220723037,-13.7381829703413,196.420828518842,-2.221761940858,1518.98273471227,-2.3030618328095,1204.93689545795,-4.01168698057672,1640.90372347097,-2.48966404429714,1155.49487863542,12.8732703238337,196.423690031636,-1.42962765216456,0.914567296582895,0.0735356208323726,0.365688258449775,-3.15648431452288,0.423040554655405,0,54999759.6081873,79.543081133692,11,115,181.086162267384,3.9575856658295,0.0443388944655533,NA,0.931901797391047
"4","m004","~camhours ~ ele.s + dis.s + PAS",-0.370353415892541,1.39588551823321,0.180320753532996,1.0364880419136,-12.7053692859581,101.44214719184,-0.700416047897134,326.481404487869,-2.7533815548792,643.492983275037,-4.63321358972405,1159.52510660208,-2.24120778240119,498.211930035578,11.6577436074497,101.448876664374,NA,NA,0.066008609517369,0.36697161355949,-3.46404188428262,0.337643577455174,0,24544829.9205597,81.0569173506554,10,115,182.113834701311,4.98525809975632,0.0265233652959507,NA,0.958425162686997
"10","m010","~camhours + cam_angle ~ ele.s",NA,NA,-0.797820843651939,0.45869857118753,-2.77146765186258,0.834991896992896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.98344979234089,1.24477622929835,0.0763606555824917,0.364405484647312,-2.87693526675978,0.335559566187122,0,31.1310980122503,86.7389072931497,5,115,183.477814586299,6.34923798474492,0.0134104749102585,NA,0.971835637597256
"17","m017","~camhours + cam_angle ~ 1",NA,NA,NA,NA,-2.62232004607117,0.741241174500342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.8181594116041,1.27683111956303,0.0710856035550179,0.366877540116537,-2.85389285734146,0.319761940955962,0,26.5419863384227,88.2967234302859,4,115,184.593446860572,7.46487025901729,0.00767693189241318,NA,0.979512569489669
"11","m011","~camhours + cam_angle ~ ele.s + dis.s",0.408104806020099,0.641342737242448,-0.996623119565846,0.583928575289504,-2.77276671658638,0.845683954003808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.04157409846824,1.21723663723077,0.0776402473600157,0.363833850734589,-2.87562353074193,0.334361225194392,0,31.8545153703096,86.5435034027009,6,115,185.087006805402,7.95843020384748,0.00599808350128023,NA,0.985510652990949
"1","m001","~1 ~ 1",NA,NA,NA,NA,-2.99270561599473,0.451462423288727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.24329807631119,0.284546852535348,0,2.70877599433972,90.7191091786139,2,115,185.438218357228,8.30964175567337,0.00503208406750518,NA,0.990542737058455
"16","m016","~camhours + cam_angle ~ dis.s",-0.154268454380818,0.489327469496402,NA,NA,-2.65300451596748,0.736675773683127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.78194457222197,1.27047462735812,0.0707028625760051,0.366756663890223,-2.85599913444677,0.320918158804243,0,26.0712890842783,88.2438021773847,5,115,186.487604354769,9.359027753215,0.00297767033222157,NA,0.993520407390676
"2","m002","~camhours ~ ele.s",NA,NA,-0.707517213002009,0.430570264597535,-3.20268207347258,0.542172873081444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0633772490354517,0.369404628522512,-3.26486604202026,0.292550851614698,0,5.22173836523148,89.3338263281143,4,115,186.667652656229,9.5390760546741,0.00272132005341599,NA,0.996241727444092
"9","m009","~camhours ~ 1",NA,NA,NA,NA,-2.99139849073276,0.451517809448925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0593385846768218,0.369297453026237,-3.24078821783064,0.284825967030961,0,2.7168383627531,90.7047226138396,3,115,187.409445227679,10.2808686261249,0.00187802518382149,NA,0.998119752627914
"3","m003","~camhours ~ ele.s + dis.s",0.29958389943401,0.633975987107243,-0.854342834525288,0.553009065188079,-3.23244557585232,0.558325941327279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0637158854920323,0.369407852506579,-3.26285307781393,0.292418610023449,0,9.76144908371617,89.2246931710749,5,115,188.44938634215,11.3208097405953,0.00111655743544137,NA,0.999236310063355
"8","m008","~camhours ~ dis.s",-0.208940085745595,0.486929551869016,NA,NA,-3.00617841079252,0.458677447686544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0596990098674145,0.369295236998089,-3.2446156892227,0.285604868896994,0,3.47686615229277,90.6045368187307,4,115,189.209073637461,12.0804970359071,0.000763689936645132,NA,1
