,model,formula,lam(dis.s),SElam(dis.s),lam(ele.s),SElam(ele.s),lam(Int),SElam(Int),lam(PASLvshilin),SElam(PASLvshilin),lam(PASMangao),SElam(PASMangao),lam(PASMengla),SElam(PASMengla),lam(PASMengsong),SElam(PASMengsong),lam(PASNabanhe),SElam(PASNabanhe),lam(pop.s),SElam(pop.s),p(cam_angle),SEp(cam_angle),p(camhours),SEp(camhours),p(Int),SEp(Int),Converge,CondNum,negLogLike,nPars,n,AIC,delta,AICwt,Rsq,cumltvWt
10,m012,~camhours + cam_angle ~ pop.s + dis.s + PAS,0.494727287,0.131766395,NA,NA,0.972168467,0.362070985,-22.54112146,4194.304078,-12.42938482,128.9491911,0.54536876,0.331845777,-0.845843838,0.555634749,-0.611859465,0.822052859,0.870155954,0.40802994,0.297977712,0.26143519,0.064619472,0.079017217,-4.709290887,0.30600405,0,9736449149,1232.022709,11,115,2486.045418,0,0.521266565,NA,0.521266565
11,m018,~camhours ~ ele.s + pop.s + PAS + dis.s,0.50198697,0.146644283,0.030734297,0.152804167,0.986980214,0.36467158,-15.96631272,405.4801081,-15.7294302,655.0403351,0.558056357,0.354218758,-0.846381872,0.564811538,-0.819869617,0.825778954,0.968440222,0.433915701,,,0.064226097,0.079051831,-4.411614236,0.162023475,0,224308347.2,1232.626459,11,115,2487.252919,1.207500612,0.285006289,NA,0.806272854
12,m020,~camhours + cam_angle ~ ele.s + pop.s + PAS + dis.s,0.488159149,0.145821216,0.017142814,0.151858061,0.97237431,0.361952724,-17.2664767,838.8614975,-7.964197661,13.79562659,0.555206434,0.349937691,-0.854643334,0.563217616,-0.621274517,0.827484803,0.88484276,0.432440734,0.294513406,0.262337369,0.064204192,0.078931383,-4.706106865,0.306732925,0,419768245.1,1232.021151,12,115,2488.042301,1.996882799,0.192062368,NA,0.998335222
4,m005,~camhours ~ PAS,,,,,0.107360192,0.242354999,-10.94362862,105.5528053,-13.77984355,353.2241846,1.135060082,0.254326632,-0.66746096,0.546499876,1.073737984,0.276552725,,,,,0.065631685,0.078700535,-4.308517903,0.151654563,0,36649482.14,1241.098516,8,115,2498.197032,12.15161385,0.001197762,NA,0.999532983
5,m006,~camhours ~ pop.s + PAS,,,,,0.17864767,0.31856897,-8.320937425,24.27637384,-25.25902209,,1.166820149,0.270765647,-0.708644172,0.559438708,0.852247815,0.708112858,0.122667773,0.358296382,,,0.065498545,0.078687915,-4.309166497,0.151626285,0,-5314884611,1241.040377,9,115,2500.080755,14.03533657,0.000467009,NA,0.999999992
7,m009,~camhours ~ pop.s + dis.s,0.660903378,0.093423304,,,0.436228045,0.155029634,,,,,,,,,,,0.225058567,0.121772497,,,0.068899512,0.079070066,-4.223353809,0.139736766,0,14.36729108,1256.469921,5,115,2522.939842,36.89442381,5.08E-09,NA,0.999999997
9,m011,~camhours + cam_angle ~ pop.s + dis.s,0.661195824,0.093482569,,,0.434501519,0.156250371,,,,,,,,,,,0.223933087,0.12259392,-0.022325698,0.269462686,0.068866987,0.079073229,-4.202571868,0.286928129,0,67.77141491,1256.466486,6,115,2524.932971,38.88755296,1.87E-09,NA,0.999999999
8,m010,~camhours + cam_angle ~ ele.s + pop.s + dis.s,0.674183111,0.100226167,-0.054868492,0.149770364,0.436999947,0.156807581,,,,,,,,,,,0.193975758,0.146575756,-0.017062923,0.269634903,0.069066321,0.079082029,-4.209322395,0.287556502,0,74.0525679,1256.399495,7,115,2526.79899,40.75357201,7.37E-10,NA,1
2,m002,~camhours ~ ele.s,,,0.230965837,0.111169505,0.292969893,0.133130637,,,,,,,,,,,,,,,0.068446444,0.078050704,-3.955473643,0.110833154,0,5.417749486,1278.348138,4,115,2564.696276,78.65085809,4.35E-18,NA,1
1,m001,~1 ~ 1,,,,,0.319529039,0.131187112,,,,,,,,,,,,,,,,,-3.954929569,0.111382206,0,5.060035776,1281.059763,2,115,2566.119526,80.07410767,2.13E-18,NA,1
3,m003,~camhours ~ ele.s + pop.s,,,0.217180434,0.138387665,0.289972632,0.134489465,,,,,,,,,,,-0.025177609,0.151101914,,,0.068496113,0.078070839,-3.954250648,0.111105841,0,7.500138634,1278.334217,5,115,2566.668435,80.62301667,1.62E-18,NA,1
6,m008,~camhours ~ pop.s,,,,,0.29099707,0.133983788,,,,,,,,,,,-0.162218999,0.118990435,,,0.06887287,0.077978709,-3.942153442,0.111046828,0,5.457206934,1279.576232,4,115,2567.152465,81.10704649,1.27E-18,NA,1
