"","model","formula","lam(dis)","SElam(dis)","lam(edu)","SElam(edu)","lam(ele.s)","SElam(ele.s)","lam(income)","SElam(income)","lam(Int)","SElam(Int)","lam(PAsize)","SElam(PAsize)","lam(pop3000.s)","SElam(pop3000.s)","lam(popEDU)","SElam(popEDU)","lam(popIN)","SElam(popIN)","lam(popPUN)","SElam(popPUN)","lam(popREACH)","SElam(popREACH)","lam(popSH)","SElam(popSH)","lam(popSP)","SElam(popSP)","lam(punish)","SElam(punish)","lam(reach)","SElam(reach)","lam(score.H)","SElam(score.H)","p(cam_angle)","SEp(cam_angle)","p(camhours)","SEp(camhours)","p(Int)","SEp(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"17","m017","~camhours + cam_angle ~ ele.s + PAsize + dis + reach + punish",-0.566614518456754,0.2945146241611,NA,NA,0.823227305693093,0.353963477537623,NA,NA,11.614764608522,7.3955274742913,0.0692406504016172,0.101602784194449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.31431720526501,4.40243324533473,-6.43835525092921,3.79281212831116,NA,NA,-1.13486063614683,1.44188210675958,4.61820044015247,50.0179298002497,-3.63420301640948,2.61989015827634,0,3769993.72411004,280.15936099096,9,115,578.31872198192,0,0.32019630524237,NA,0.32019630524237
"20","m020","~camhours + cam_angle ~ ele.s + PAsize + dis + pop3000.s + reach + punish",-0.568606742341606,0.298554604684973,NA,NA,0.819712896926279,0.355514155670394,NA,NA,12.9614973107446,27.5248490457774,0.0408082310738436,0.553015419842682,-0.126835203236247,2.37489714174122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.45917967889936,5.64481726915109,-6.93152125215849,10.6374012681439,NA,NA,-1.13471314395453,1.44300930134916,4.96543501167784,56.6915130716868,-3.64942685604524,2.8606901266732,0,4874025.15160453,280.15649723751,10,115,580.312994475019,1.99427249309883,0.118131453253699,NA,0.438327758496068
"15","m015","~camhours + cam_angle ~ ele.s + dis + PAsize + popIN",-0.675045708501848,0.283533369192049,NA,NA,1.06209644354509,0.352545131602224,NA,NA,-3.18470606762708,0.687321511401461,0.391283940468596,0.105128486209605,NA,NA,NA,NA,0.953981616051582,0.507883633360095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.566477338001845,1.19042196254244,4.23024355886466,43.5373867059652,-4.21089305690545,2.26744059061113,0,2669809.59528504,282.33734881875,8,115,580.6746976375,2.35597565557953,0.098587692746282,NA,0.53691545124235
"19","m019","~camhours + cam_angle ~ ele.s + PAsize + dis + edu + income",-0.423174068302895,0.281321618422792,5.90175154054189,6.50681120630944,0.553856554687036,0.317127369672535,-0.36624991036492,0.428872511592748,-17.3309472475776,15.7647106583696,-0.383191644142524,0.696546284940382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.24421405302054,0.927882400406179,4.12445737444047,43.6209441231289,-3.47787836213445,2.09244977105332,0,52054054.534508,281.603799185578,9,115,581.207598371156,2.8888763892362,0.0755274424952937,NA,0.612442893737644
"14","m014","~camhours + cam_angle ~ ele.s + dis + PAsize + popEDU",-0.656982441066796,0.280441395556266,NA,NA,1.04981686444229,0.359758055420301,NA,NA,-3.07219911706424,0.660443506384973,0.370713357812781,0.101347297497216,NA,NA,0.870339301317756,0.532970778502393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.504294965494767,1.1306442460158,3.8474245336274,37.5707448858594,-4.25469925784775,2.02214860703956,0,1982223.17640142,282.667454010008,8,115,581.334908020015,3.01618603809482,0.0708695768875684,NA,0.683312470625212
"9","m009","~camhours + cam_angle ~ ele.s + dis + PAsize",-0.553162927367776,0.270436083240186,NA,NA,0.790914216549467,0.296663770563848,NA,NA,-2.8042416779248,0.606651488795207,0.287688866395757,0.0811178036483079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.616739981328794,1.41588824820367,7.30379971148415,126.08796450094,-4.27608931054539,5.63038558177037,0,21852037.4362795,283.707471012063,7,115,581.414942024126,3.09622004220591,0.0680895833580493,NA,0.751402053983262
"18","m018","~camhours + cam_angle ~ ele.s + PAsize + dis + score.H",-0.551349278403931,0.277525334193235,NA,NA,0.735697226296318,0.31539132830688,NA,NA,-6.23809188313352,3.08048360389281,0.214021781241389,0.0910648704928803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1490031408857,8.55823532709937,-1.10266767107451,1.63753863616438,4.68396194985331,54.976476027214,-3.66980102831556,2.91685430679657,0,4112142.70873407,282.891990787357,8,115,581.783981574713,3.4652595927929,0.0566167266382042,NA,0.808018780621466
"13","m013","~camhours + cam_angle ~ ele.s + dis + PAsize + popSH",-0.647872176458465,0.280811357005061,NA,NA,1.01486973239055,0.358544511320478,NA,NA,-3.00241909966469,0.64292298164532,0.359138162293529,0.100393539974641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.775953930419249,0.553937765701547,NA,NA,NA,NA,NA,NA,NA,NA,-0.515313921692524,1.1535290587741,3.42997404048071,31.3431830397378,-4.22658404334649,1.83238236801718,0,1378237.1905845,282.93559435622,8,115,581.87118871244,3.55246673052011,0.0542010833541727,NA,0.862219863975639
"10","m010","~camhours + cam_angle ~ ele.s + dis + PAsize + popREACH",-0.497909008219181,0.279193958102348,NA,NA,0.64741816741612,0.327474496220291,NA,NA,-2.74479586885693,0.611586616570734,0.232044426633702,0.0956131260782032,NA,NA,NA,NA,NA,NA,NA,NA,-0.553737838700731,0.632229817531141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.15562295106643,1.2424870107953,8.38141993407965,166.760195601602,-3.75454952694422,7.27617946070062,0,37254589.5885778,283.231154156257,8,115,582.462308312515,4.14358633059442,0.0403318345488798,NA,0.902551698524518
"11","m011","~camhours + cam_angle ~ ele.s + dis + PAsize + popPUN",-0.537294561279358,0.283726832238127,NA,NA,0.716074167578238,0.327316990233149,NA,NA,-2.71587892350383,0.619359771216633,0.249278671641719,0.103053183815452,NA,NA,NA,NA,NA,NA,-0.295802163856679,0.542405479136539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.00419109598001,2.29696088770348,1.775069423703,10.5931677941415,-3.63021502790487,2.46461620558902,0,151478.876723446,283.559407312261,8,115,583.118814624522,4.80009264260184,0.0290462079731175,NA,0.931597906497636
