"","model","formula","lam(dis)","SElam(dis)","lam(edu)","SElam(edu)","lam(ele.s)","SElam(ele.s)","lam(income)","SElam(income)","lam(Int)","SElam(Int)","lam(PAsize)","SElam(PAsize)","lam(pop3000.s)","SElam(pop3000.s)","lam(popEDU)","SElam(popEDU)","lam(popIN)","SElam(popIN)","lam(popPUN)","SElam(popPUN)","lam(popREACH)","SElam(popREACH)","lam(popSH)","SElam(popSH)","lam(popSP)","SElam(popSP)","lam(punish)","SElam(punish)","lam(reach)","SElam(reach)","lam(score.H)","SElam(score.H)","p(cam_angle)","SEp(cam_angle)","p(camhours)","SEp(camhours)","p(Int)","SEp(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"16","m016","~camhours + cam_angle ~ ele.s + dis + PAsize + pop3000.s",-0.311302872984612,0.431227959976816,NA,NA,0.330186881568046,0.574868169943541,NA,NA,-4.41982146162974,1.29119680028775,0.504987976502278,0.200740681123915,1.63827281983235,0.73727464560552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33703517516665,1.18667474296069,-0.159011077889799,0.1430466383017,-5.71927644566658,1.19294301363541,0,1841.58306830802,122.868495316482,8,115,261.736990632965,0,0.257194390586809,NA,0.257194390586809
"12","m012","~camhours + cam_angle ~ ele.s + dis + PAsize + popSP",-0.199737643494644,0.410344280800282,NA,NA,0.0939139939279218,0.529176978164018,NA,NA,-3.67424481080629,0.982762493824836,0.361042085260187,0.14655712498218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.12835145741997,0.563746630254426,NA,NA,NA,NA,NA,NA,1.21386718886573,1.21124741237709,-0.15810850297414,0.143340160544258,-5.57964115238283,1.2081887525071,0,1891.416773809,123.77081811388,8,115,263.54163622776,1.80464559479537,0.104324828772797,NA,0.361519219359607
"20","m020","~camhours + cam_angle ~ ele.s + PAsize + dis + pop3000.s + reach + punish",-0.379802298385498,0.454490158216429,NA,NA,0.404539525814094,0.605639840721346,NA,NA,-3.83537506203225,2.43380607997736,0.697728383799667,0.418062330577874,1.44837982160146,0.902271992497947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.84263748779932,9.26448807204498,1.2580322161735,1.49075443207323,NA,NA,1.55744788203152,1.18641714963453,-0.16026861721924,0.142939297761575,-5.93007971331549,1.19218949496391,0,65701.1057975006,121.989171207437,10,115,263.978342414875,2.24135178191011,0.0838606331361566,NA,0.445379852495763
"1","m001","~1 ~ 1",NA,NA,NA,NA,NA,NA,NA,NA,-1.94266060227114,0.334801213439143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.18691017972722,0.321760677791299,0,2.72910019509666,130.070483278586,2,115,264.140966557172,2.40397592420709,0.0773116163487898,NA,0.522691468844553
"14","m014","~camhours + cam_angle ~ ele.s + dis + PAsize + popEDU",-0.154665106228131,0.40516230169385,NA,NA,-0.0176628170994961,0.500236727877684,NA,NA,-3.5935433311532,0.941938543749077,0.346165758602612,0.143406516767223,NA,NA,0.93914022773981,0.490159123864878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.18240081290613,1.2237465113035,-0.158681246801992,0.143681793134996,-5.52752752010321,1.21627447272465,0,1925.31040065854,124.130326027245,8,115,264.260652054489,2.52366142152471,0.0728207885777243,NA,0.595512257422278
"13","m013","~camhours + cam_angle ~ ele.s + dis + PAsize + popSH",-0.156773498930951,0.406552163596538,NA,NA,-0.03074004493943,0.500038632106552,NA,NA,-3.57560928527821,0.932894258275805,0.345350659218842,0.142743049446937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.928393424257711,0.490594330457571,NA,NA,NA,NA,NA,NA,NA,NA,1.1735827341875,1.22460443196074,-0.158416852619478,0.143674001161091,-5.51911970831032,1.21681428301144,0,1928.07097028349,124.188133311606,8,115,264.376266623213,2.63927599024839,0.0687305774945572,NA,0.664242834916835
"15","m015","~camhours + cam_angle ~ ele.s + dis + PAsize + popIN",-0.125938510664246,0.403557695013254,NA,NA,-0.09738696497093,0.482528764628001,NA,NA,-3.54232401417177,0.925628653645945,0.33690702537317,0.14284098946248,NA,NA,NA,NA,0.857861313892164,0.47715469581067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.17041860242311,1.22894619195158,-0.158843644552055,0.143834931182214,-5.5024850328708,1.21945221954009,0,1939.08560663782,124.374385645102,8,115,264.748771290204,3.01178065723946,0.0570507860209037,NA,0.721293620937739
"17","m017","~camhours + cam_angle ~ ele.s + PAsize + dis + reach + punish",-0.139919920997846,0.425419560414835,NA,NA,-0.207528195963391,0.47418291466038,NA,NA,-2.39807571004482,1.86280998070565,0.437036328176854,0.240021054557996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.3874889967394,5.46276812589999,1.38481403446795,0.941876708661035,NA,NA,1.56689480284084,1.19990460904029,-0.161619835308662,0.143882539274566,-5.80517263886072,1.19404258463066,0,22528.0143201401,123.501321867398,9,115,265.002643734796,3.26565310183173,0.050249753008416,NA,0.771543373946154
"10","m010","~camhours + cam_angle ~ ele.s + dis + PAsize + popREACH",-0.0959019159650806,0.428483329374949,NA,NA,-0.139285943871447,0.497742301213134,NA,NA,-3.6357374435022,1.06291578120823,0.331046707384374,0.158585277707379,NA,NA,NA,NA,NA,NA,NA,NA,0.723018353068009,0.463449529754684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67061077104732,1.189500985644,-0.166045207468006,0.144439161507589,-5.83881194488467,1.18833006706384,0,1735.65166421554,124.594779601892,8,115,265.189559203785,3.4525685708204,0.0457662947257526,NA,0.817309668671907
"11","m011","~camhours + cam_angle ~ ele.s + dis + PAsize + popPUN",-0.0552776364707138,0.420342045428643,NA,NA,-0.190728584761493,0.485955658715373,NA,NA,-3.60600220091023,1.06046382478042,0.326618071655834,0.161372758760806,NA,NA,NA,NA,NA,NA,0.678359677571243,0.478273291968303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.64253541077858,1.19330367876854,-0.166084746686192,0.144523523195324,-5.80631848594963,1.19111578478393,0,1749.79455818839,124.833008090207,8,115,265.666016180413,3.92902554744876,0.0360648753201764,NA,0.853374543992083
