"","model","formula","lam(dis)","SElam(dis)","lam(ele.s)","SElam(ele.s)","lam(Int)","SElam(Int)","lam(PAsize)","SElam(PAsize)","lam(pop3000.s)","SElam(pop3000.s)","lam(popEDU)","SElam(popEDU)","lam(popIN)","SElam(popIN)","lam(popPUN)","SElam(popPUN)","lam(popREACH)","SElam(popREACH)","lam(popSH)","SElam(popSH)","lam(popSP)","SElam(popSP)","lam(punish)","SElam(punish)","lam(reach)","SElam(reach)","lam(score.H)","SElam(score.H)","p(cam_angle)","SEp(cam_angle)","p(camhours)","SEp(camhours)","p(Int)","SEp(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"11","m011","~camhours + cam_angle ~ ele.s + dis + PAsize + popPUN",0.421493143697485,0.364782254350015,-0.358160078161887,0.311307990963967,-3.67027539209824,0.881069329761015,0.374964924466706,0.133868452694157,NA,NA,NA,NA,NA,NA,1.78268394028423,0.34234341105302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.40417363929246,0.317543057591975,0.344417565260519,0.321269407654796,-3.62912684104813,0.334159780844311,0,767.211748362193,441.282976670911,8,115,898.565953341822,0,0.418207679949132,NA,0.418207679949132
"10","m010","~camhours + cam_angle ~ ele.s + dis + PAsize + popREACH",0.342910706645402,0.366083932447042,-0.35988501577132,0.313373059044607,-3.57849330864059,0.876232329426122,0.357196444807047,0.130606130370225,NA,NA,NA,NA,NA,NA,NA,NA,1.70681806344621,0.331942298351491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.398310290961893,0.31772102350086,0.345023905788354,0.321471444808222,-3.62942651881042,0.334784098966836,0,754.285841979871,441.650891908054,8,115,899.301783816109,0.735830474286786,0.289473256347229,NA,0.707680936296362
"18","m018","~camhours + cam_angle ~ ele.s + PAsize + dis + score.H",0.194702449183619,0.360066100252967,-0.657322724902297,0.305020723540343,6.75652066650784,1.71313002883994,0.452648689636005,0.184012650101804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-30.4456325169351,7.70722592847883,-0.390043549904173,0.319187770543279,0.346956644630598,0.322724003872034,-3.5505031838201,0.327982280229633,0,50699.073924115,442.145001947807,8,115,900.290003895613,1.72405055379136,0.176611582877619,NA,0.884292519173981
"19","m020","~camhours + cam_angle ~ ele.s + PAsize + dis + pop3000.s + reach + punish",0.435076949961822,0.400562659408238,-0.568980953942906,0.330852093952778,-11.8851469970106,4.15787831812671,0.471674491544505,0.199956803807984,1.59753680249313,1.01592052433714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.86159734687187,5.10814545010345,0.157289071897283,0.595680343598155,NA,NA,-0.400352748913369,0.317625632977566,0.344958107297468,0.321781333658902,-3.60589115393423,0.332236112605299,0,72280.6211030484,441.268858666893,10,115,902.537717333785,3.9717639919636,0.0574029763713968,NA,0.941695495545378
"17","m017","~camhours + cam_angle ~ ele.s + PAsize + dis + reach + punish",0.23445778165777,0.367406316057223,-0.699408484918625,0.312457425648696,-8.84212281623696,4.15064923769559,0.30335153837484,0.156692018939237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.316928528179,4.23403733616572,1.00521092026549,0.34908440452286,NA,NA,-0.398799883402592,0.319321747502122,0.3468492580485,0.32268299310515,-3.53903451777314,0.328096365682682,0,54208.3346724663,442.622785892243,9,115,903.245571784486,4.67961844266461,0.0402926443431506,NA,0.981988139888528
"4","m004","~camhours + cam_angle ~ ele.s + dis + popPUN",0.898689237200265,0.340196194733358,-0.471415251294862,0.287707930629865,-1.88306062531621,0.362235296040913,NA,NA,NA,NA,NA,NA,NA,NA,1.29353443259223,0.230018857079996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.477873410068249,0.317788644311435,0.349726324349283,0.323556948586675,-3.42663766001089,0.320242965921135,0,47.8695096740431,446.037507333422,7,115,906.075014666844,7.50906132502212,0.00979084229019419,NA,0.991778982178722
"3","m003","~camhours + cam_angle ~ ele.s + dis + popREACH",0.797078443402869,0.345707703125311,-0.452693788895676,0.293389663638013,-1.85738227758262,0.361672391727408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2446382933568,0.22065507314022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.473729061493397,0.31807263955946,0.350122453361221,0.323570177673024,-3.43311015571635,0.3217707532486,0,49.4402106617855,446.212262049685,7,115,906.42452409937,7.85857075754791,0.00822100753191318,NA,0.999999989710636
"7","m007","~camhours + cam_angle ~ ele.s + dis + popIN",0.592306824355818,0.25984847485309,-1.3635126761104,0.307088552821428,-1.57251820427927,0.269000010949035,NA,NA,NA,NA,NA,NA,-0.446197293360335,0.217185392252709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.809342688345514,0.289465181540215,0.349537002576635,0.32302502351199,-2.85752420790591,0.250039234164002,0,18.7869936190726,461.16383629574,7,115,936.327672591481,37.7617192496588,2.63960447077607e-09,NA,0.99999999235024
"15","m015","~camhours + cam_angle ~ ele.s + dis + PAsize + popIN",0.89449840400534,0.367192603189624,-1.44918757040259,0.320828658871381,-1.10351547496154,0.442184536147273,-0.121506110106263,0.0987330627983082,NA,NA,NA,NA,-0.605331409548216,0.253740449498786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.789424928589237,0.289427610763531,0.349351351240907,0.323421200674704,-2.86849483762761,0.25038894997894,0,212.160196039733,460.338144978512,8,115,936.676289957024,38.1103366152025,2.21736687923207e-09,NA,0.999999994567607
"5","m005","~camhours + cam_angle ~ ele.s + dis + popSH",0.604751474615642,0.258267567052675,-1.32355964527379,0.312247520788711,-1.55352984315436,0.266107983539821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.37523256551279,0.211519688075717,NA,NA,NA,NA,NA,NA,NA,NA,-0.817277623928239,0.288386938545743,0.349807321524688,0.323184140132731,-2.84253504353865,0.248621999118241,0,19.3592128116343,461.839188033011,7,115,937.678376066022,39.1124227242005,1.34349892239763e-09,NA,0.999999995911106
