"","model","formula","lam(dis)","SElam(dis)","lam(edu)","SElam(edu)","lam(ele.s)","SElam(ele.s)","lam(income)","SElam(income)","lam(Int)","SElam(Int)","lam(PAsize)","SElam(PAsize)","lam(pop3000.s)","SElam(pop3000.s)","lam(popEDU)","SElam(popEDU)","lam(popIN)","SElam(popIN)","lam(popPUN)","SElam(popPUN)","lam(popREACH)","SElam(popREACH)","lam(popSH)","SElam(popSH)","lam(popSP)","SElam(popSP)","lam(punish)","SElam(punish)","lam(reach)","SElam(reach)","lam(score.H)","SElam(score.H)","p(cam_angle)","SEp(cam_angle)","p(camhours)","SEp(camhours)","p(Int)","SEp(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"18","m018","~camhours + cam_angle ~ ele.s + PAsize + dis + score.H",0.312670791995124,0.12903622917202,NA,NA,0.0153048994841529,0.13437172596354,NA,NA,4.21195887344436,0.681045910850114,0.245864748402056,0.0535809240668736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13.5114987013929,2.42882575010484,0.374532635289219,0.255659249761106,0.0667640217114386,0.0790999444800096,-4.76985706745904,0.300726940399662,0,44847.0789435357,1238.47324978787,8,115,2492.94649957574,0,0.506057887590159,NA,0.506057887590159
"17","m017","~camhours + cam_angle ~ ele.s + PAsize + dis + reach + punish",0.390798523714969,0.139335671715331,NA,NA,-0.0889351239995859,0.146794177790648,NA,NA,-4.52011008034609,1.36831344955133,0.214061154365778,0.055809764091491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0057778301187,1.28695129697055,0.343534027504635,0.121020243313659,NA,NA,0.329827554397676,0.259757891224563,0.066408313758259,0.0790579421407766,-4.67665862359374,0.299292333743785,0,27273.1657769898,1237.8527432252,9,115,2493.70548645039,0.758986874654056,0.34624881245717,NA,0.852306700047329
"20","m020","~camhours + cam_angle ~ ele.s + PAsize + dis + pop3000.s + reach + punish",0.382988778179578,0.140440843036976,NA,NA,-0.106177448348434,0.150598818033434,NA,NA,-4.65973074640165,1.48765517268038,0.204903766763519,0.0593006858751065,-0.220832252158409,0.488072062532144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.74751361120994,1.42304262545342,0.45528153594943,0.276443535336552,NA,NA,0.342798668730843,0.26093079962272,0.0665534002362842,0.0790427608224775,-4.68899094645764,0.300326454544787,0,29712.3927408572,1237.74413005248,10,115,2495.48826010496,2.54176052922412,0.141992011714057,NA,0.994298711761386
"11","m011","~camhours + cam_angle ~ ele.s + dis + PAsize + popPUN",0.330918765803963,0.129566102501607,NA,NA,0.117104037262043,0.141996003034647,NA,NA,-0.411899652942901,0.295445863635293,0.203827489144547,0.0477206521314823,NA,NA,NA,NA,NA,NA,0.693962873297027,0.13795922011101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.233121845392626,0.261397196863878,0.0667973462935212,0.0791848257933287,-4.59324262033747,0.300286858347346,0,1093.68149606915,1243.39072550788,8,115,2502.78145101576,9.83495144002336,0.00370311865769646,NA,0.998001830419082
"10","m010","~camhours + cam_angle ~ ele.s + dis + PAsize + popREACH",0.303347864461575,0.13091319587069,NA,NA,0.121261852556517,0.143318818343102,NA,NA,-0.319723162550761,0.283480137889297,0.189814627705554,0.0452502075129728,NA,NA,NA,NA,NA,NA,NA,NA,0.643406936826916,0.130318608448666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.236350629694702,0.261142813969478,0.0672839765462846,0.0792110407122571,-4.60661888256557,0.30210228495077,0,1103.49922068454,1244.27952654622,8,115,2504.55905309244,11.6125535166971,0.00152253134272938,NA,0.999524361761812
"19","m019","~camhours + cam_angle ~ ele.s + PAsize + dis + edu + income",0.311301973489631,0.131855027538448,-1.10100455662113,0.571757747789636,0.00160787688001047,0.139216112624904,0.0320031711210634,0.0669597040855895,3.53191580182245,0.703532188450118,0.268517018019705,0.090341826576427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.285541948331836,0.261443273118411,0.0681161906290108,0.0791949640278966,-4.6586584472297,0.305036178317106,0,83917.1985341258,1244.44868841899,9,115,2506.89737683798,13.9508772622394,0.000472939613327747,NA,0.99999730137514
"4","m004","~camhours + cam_angle ~ ele.s + dis + popPUN",0.713652862926342,0.101529527944612,NA,NA,-0.0205951882446735,0.134003736685618,NA,NA,0.44172517049696,0.16058711508954,NA,NA,NA,NA,NA,NA,NA,NA,0.352722699900007,0.108999788767291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.129537855051102,0.271495466750574,0.068747729634399,0.0791067354007261,-4.37710085629687,0.297167218963381,0,75.3841814935142,1252.49585946977,7,115,2518.99171893953,26.0452193637916,1.11828544780265e-06,NA,0.999998419660587
"3","m003","~camhours + cam_angle ~ ele.s + dis + popREACH",0.685041557798468,0.100563207261215,NA,NA,-0.0132231639225013,0.136032003044675,NA,NA,0.45718432936844,0.161818929926429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.334626524328946,0.106365430051909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.130011109153996,0.271641284100733,0.0690376472710412,0.0791275409552927,-4.38673173046868,0.299143663382068,0,75.5686127751456,1252.81681726046,7,115,2519.63363452093,26.6871349451872,8.11264507266063e-07,NA,0.999999230925095
"7","m007","~camhours + cam_angle ~ ele.s + dis + popIN",0.597045929830508,0.0992952522177916,NA,NA,-0.303016898272696,0.142042386793559,NA,NA,0.352851447485539,0.162609286801845,NA,NA,NA,NA,NA,NA,-0.408284861090833,0.182632608820792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0130647209067785,0.273359829807592,0.0684007806730258,0.0787973511704126,-4.21771373012771,0.287276081874515,0,71.4775625465528,1254.26580298567,7,115,2522.53160597134,29.5851063956025,1.90491662129375e-07,NA,0.999999421416757
"5","m005","~camhours + cam_angle ~ ele.s + dis + popSH",0.609722052598116,0.0979279540002319,NA,NA,-0.311116671195152,0.143584319259974,NA,NA,0.344901991809639,0.162214805246783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.390284679015135,0.176904598105571,NA,NA,NA,NA,NA,NA,NA,NA,0.00380816588692976,0.273361467847088,0.0682205697759767,0.0787855074649708,-4.19883460876501,0.285994288223108,0,70.8212293863672,1254.41645936337,7,115,2522.83291872675,29.8864191510061,1.63850110174829e-07,NA,0.999999585266867
