,model,formula,p(camhours),SEp(camhours),p(Int),SEp(Int),psi(Int),SEpsi(Int),,,,,,,
2,m002,~1 ~ sitecovs.ele_stand,NA,NA,-6.002598325,0.336571937,21.88656077,33.1343431,,,,,,,
1,m001,~1 ~ 1,NA,NA,-6.177175366,0.336827226,6.763078466,38.60328727,,,,,,,
4,m004,~1 ~ sitecovs.ele_stand + sitecovs.dis + sitecovs.cam_angle,NA,NA,-5.887806797,0.33513042,-5.911843514,12.65085346,,,,,,,
6,m006,~camhours ~ 1,18.2101738,802.167617,-8.081916738,85.065783,7.267227063,50.05338501,,,,,,,
7,m007,~camhours ~ 1,18.2101738,802.167617,-8.081916738,85.065783,7.267227063,50.05338501,,,,,,,
5,m005,~1 ~ sitecovs.ele_stand + sitecovs.dis + sitecovs.cam_angle + sitecovs.ridge,NA,NA,-5.842447339,0.335195999,10.15763508,258.8255856,,,,,,,
11,m011,~camhours ~ sitecovs.ele_stand + sitecovs.dis + sitecovs.cam_angle,18.13811187,660.1933875,-7.774168358,70.01020051,-7.583540111,17.58766391,,,,,,,
13,m013,~camhours ~ sitecovs.ele_stand * sitecovs.dis,18.20088814,670.8756629,-7.783190581,71.14299477,38.58516322,52.51136125,,,,,,,
8,m008,~camhours ~ sitecovs.dis,18.15687038,767.1006169,-8.075978052,81.34714037,7.257304336,39.06514173,,,,,,,
10,m010,~camhours ~ sitecovs.ele_stand,18.16210496,798.4082439,-8.076949969,84.66710261,7.259410241,74.23777937,,,,,,,
12,m012,~camhours ~ sitecovs.ele_stand + sitecovs.dis + sitecovs.cam_angle + sitecovs.ridge,18.07101449,675.3058334,-7.741561019,71.61273705,4.669472387,38.96089349,,,,,,,
3,m003,~1 ~ sitecovs.ele_stand + sitecovs.dis,NA,NA,-6.125593449,0.34970403,10.58407614,NA,,,,,,,
9,m009,~camhours ~ sitecovs.ele_stand + sitecovs.dis,18.23282749,808.4002844,-8.000453337,85.7266843,53.24295197,93.83928718,,,,,,,
,,,,,,,,,,,,,,,
