"","model","formula","lam(cam_angle)","SElam(cam_angle)","lam(dis.s)","SElam(dis.s)","lam(ele.s)","SElam(ele.s)","lam(Int)","SElam(Int)","lam(PASLvshilin)","SElam(PASLvshilin)","lam(PASMangao)","SElam(PASMangao)","lam(PASMengla)","SElam(PASMengla)","lam(PASMengsong)","SElam(PASMengsong)","lam(PASNabanhe)","SElam(PASNabanhe)","p(camhours)","SEp(camhours)","p(Int)","SEp(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"5","m005","~camhours ~ ele.s + dis.s + PAS + cam_angle",0.645834257055564,0.272616220468123,0.417227791308794,0.137116262974992,-0.0711578936449284,0.141288498921437,-0.166839701707765,0.365471468987229,-9.79940648882576,56.8523846414559,-8.86923059101092,28.5302177429388,0.510846284604867,0.335077137431342,-0.592168758112087,0.55051165388749,1.00434226847603,0.314418577378414,0.0662383600385919,0.0791001078043552,-4.42743173590258,0.164715191592881,0,1775580.25015322,1231.99046098438,11,115,2485.98092196876,0,0.683371768865396,NA,0.683371768865396
"7","m007","~camhours ~ dis.s + PAS",NA,NA,0.361896466859319,0.109624938535624,NA,NA,0.350040185844621,0.251428907615609,-15.1975282286566,937.874919949717,-14.3718893738482,463.183445892839,0.551029506270655,0.32288601538135,-0.564767768428236,0.546955113490636,0.911294519142918,0.281604797209795,0.0656839877111793,0.0790713755798819,-4.37805512871899,0.159439108013534,0,364158209.125284,1235.39340902341,9,115,2488.78681804682,2.80589607805769,0.168021339130967,NA,0.851393107996363
"4","m004","~camhours ~ ele.s + dis.s + PAS",NA,NA,0.408014273466239,0.137311661806776,-0.0820614937218593,0.144144970909606,0.397743114919948,0.260653019423104,-12.6549294131968,239.381825171565,-14.5582632210492,497.772350999942,0.493810938224363,0.334783646568685,-0.530305572744613,0.550162405703609,0.82848602642383,0.311273556582832,0.065937221617158,0.0790548933171782,-4.37986662593201,0.159836477168891,0,111048469.921587,1235.23366639525,10,115,2490.46733279049,4.48641082173071,0.0725179137928227,NA,0.923911021789186
"9","m009","~camhours ~ ele.s + dis.s + PAS",NA,NA,0.408014273466239,0.137311661806776,-0.0820614937218593,0.144144970909606,0.397743114919948,0.260653019423104,-12.6549294131968,239.381825171565,-14.5582632210492,497.772350999942,0.493810938224363,0.334783646568685,-0.530305572744613,0.550162405703609,0.82848602642383,0.311273556582832,0.065937221617158,0.0790548933171782,-4.37986662593201,0.159836477168891,0,111048469.921587,1235.23366639525,10,115,2490.46733279049,4.48641082173071,0.0725179137928227,NA,0.996428935582008
"8","m008","~camhours ~ ele.s + PAS",NA,NA,NA,NA,0.186372797435469,0.115717293544607,0.052592366510732,0.246690347998554,-10.3213500750546,94.7161189378219,-26.3847867036262,4194.30405969461,1.11473210779212,0.254309902781471,-0.692479008771702,0.545492116298183,1.24130109904454,0.294972614768874,0.0651336493418074,0.078819035211525,-4.32576476385919,0.153057234008556,0,5448816320.02681,1239.79934708769,9,115,2497.59869417539,11.617772206625,0.00205064202222041,NA,0.998479577604229
"6","m006","~camhours ~ PAS",NA,NA,NA,NA,NA,NA,0.107360191635225,0.242354998759106,-10.9436286231404,105.552805305446,-13.7798435454318,353.224184577053,1.13506008202112,0.254326631961409,-0.667460960025242,0.546499876266785,1.07373798367264,0.27655272493424,0.0656316849542075,0.0787005352292966,-4.3085179030056,0.151654563368982,0,36649482.1401193,1241.09851605493,8,115,2498.19703210985,12.216110141087,0.0015204159647797,NA,0.999999993569008
"10","m010","~camhours ~ dis.s",NA,NA,0.571725180107007,0.0772884146313592,NA,NA,0.387605456694605,0.150673821377951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0681084779034269,0.07889731851507,-4.18074326611298,0.134379479083199,0,11.8471130915192,1258.06286536845,4,115,2524.1257307369,38.144808768137,3.56136964600854e-09,NA,0.999999997130378
"3","m003","~camhours ~ ele.s + dis.s",NA,NA,0.642329204235687,0.0967441646271648,-0.160380330514326,0.127256122722425,0.41228277671687,0.153538230305789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0688937393841344,0.0789523596032584,-4.20068809132479,0.137673867884278,0,14.0037465975017,1257.27883028846,5,115,2524.55766057692,38.5767386081566,2.86962191135258e-09,NA,1
"2","m002","~camhours ~ ele.s",NA,NA,NA,NA,0.230965836862819,0.111169505030929,0.292969893385345,0.133130636954075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.068446443865416,0.0780507038550151,-3.9554736434196,0.110833154032186,0,5.41774948575908,1278.34813817575,4,115,2564.6962763515,78.7153543827353,5.51867741332727e-18,NA,1
"1","m001","~1 ~ 1",NA,NA,NA,NA,NA,NA,0.319529038693277,0.131187111781608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.95492956931702,0.111382206035623,0,5.0600357762754,1281.05976296713,2,115,2566.11952593425,80.1386039654881,2.70882088160354e-18,NA,1
"11","m011","~camhours ~ 1",NA,NA,NA,NA,NA,NA,0.319660888951235,0.13118803947735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0696862640321444,0.0780643967864669,-3.9497022198825,0.111450887709666,0,5.09603402428482,1280.58630059558,3,115,2567.17260119117,81.1916792224029,1.59995549416484e-18,NA,1
